"geo_name","Total population","Average age","Median age","Median after-tax income","Average after-tax income","Employment income (%)","Gini index","External migrants 1 year ago","External migrants 5 years ago","LANDAREA"
"H4K",11320,43.9,44.8,31600,46080,68,0.4,80,335,4.3891
"H4L",36215,40.9,39.6,26800,32600,68.8,0.3,755,5035,5.53
"H4M",12470,39.8,39.6,31000,40440,70.6,0.3,105,1200,2.761
"H4N",30200,38.1,37.2,25200,29280,68.6,0.3,765,5460,5.3313
"H4P",9110,36.4,34,30400,37200,77.8,0.3,325,1715,3.4168
"H4R",31130,39.3,39.6,36000,49200,75.8,0.4,530,2495,8.5006
"H4S",565,39.5,42.8,40800,51800,80,0.3,0,0,16.1571
"H4T",,,,,,,,,,5.2708
"H4V",20700,42.3,42,28200,35080,65.8,0.3,265,2420,2.6588
"H4W",26360,44.2,43.6,32000,43800,59,0.4,320,2430,5.7786
"H4X",6465,41.2,42.4,40000,54750,74.4,0.4,40,425,1.6261
"H7A",21640,38.7,40,36400,39040,77.2,0.2,45,410,18.3298
"H7B",2955,42.2,44,38000,41720,72,0.2,0,10,13.5758
"H7C",8820,42.8,43.6,32800,36840,70.6,0.2,40,155,18.0816
"H7E",26590,42.4,44,38000,46080,70.8,0.3,125,665,18.3096
"H7G",22050,43.8,43.6,32800,37640,67.4,0.3,115,1015,6.4765
"H7H",13865,38.7,40,39200,41640,77.8,0.2,60,250,6.1779
"H7J",2160,44.5,48.4,38400,45520,69.6,0.3,0,30,28.8811
"H7K",22475,41.4,43.6,38400,43360,76.6,0.2,65,350,11.5598
"H7L",37890,39.3,41.2,40400,45160,79.8,0.2,130,820,15.9364
"H7M",27730,45,46.8,34400,38240,71.2,0.2,135,620,11.1036
"H7N",44645,42.2,40.4,31200,35040,71.4,0.3,435,2865,8.2897
"H7P",37455,41.8,43.2,35600,40520,73.2,0.2,100,835,16.1875
"H7R",31005,40.9,42.4,36000,40960,75.6,0.2,70,860,17.5033
"H7S",7750,41.5,41.6,31200,34600,67.4,0.3,75,420,9.6383
"H7T",28210,43.6,44.4,33200,38400,70.8,0.3,235,1270,11.6602
"H7V",23240,44.3,44,25200,29760,61.6,0.3,295,2260,5.6008
"H7W",42580,44.7,45.6,27800,33880,63.6,0.3,345,2470,9.6847
"H7X",27330,40.2,42,36400,44600,76.8,0.3,145,770,12.7664
"H7Y",9980,37.8,40.8,44800,51160,81.2,0.3,25,235,6.3723
"H8N",33205,42.6,41.2,28400,32360,69.6,0.3,500,4010,7.9675
"H8P",22980,44.7,45.2,32400,37000,69.4,0.3,175,1200,4.4125
"H8R",31490,40,39.6,28400,32440,70.4,0.3,285,3225,7.072
"H8S",25685,42.3,40.8,30200,34360,74.6,0.3,270,2270,12.4235
"H8T",15270,42.9,44.4,38400,45800,74.8,0.3,120,860,3.3164
"H8Y",19915,39.7,40,31000,36200,72,0.3,205,1695,5.7689
"H8Z",15125,42.5,43.6,32000,36520,72.4,0.2,95,610,4.4481
"H9A",15270,41.2,42,34400,45280,74.8,0.3,115,680,4.5065
"H9B",21105,42.5,42.8,31000,37800,70.8,0.3,340,1405,7.1053
"H9C",11725,42.1,44.8,39600,47280,76.8,0.3,75,330,9.2913
"H9E",3190,41.9,44.4,36800,54200,65.2,0.4,0,65,13.2161
"H9G",15345,43.7,45.2,34400,41280,69.8,0.3,140,665,4.1259
"H9H",25095,43.8,45.2,33200,41640,72.2,0.3,235,1400,9.0398
"H9J",21395,41.7,44,36000,45160,75.6,0.3,160,1300,11.1911
"H9K",8900,39.8,42.4,37600,45600,83,0.3,90,400,6.3849
"H9P",3835,42.6,44,34400,37400,73.6,0.2,15,75,15.3944
"H9R",26005,46.4,47.2,37600,43960,72.6,0.3,195,1355,15.1388
"H9S",22985,46.3,48.4,37200,48240,67.8,0.3,180,975,9.4827
"H9W",19275,42.3,44.8,44000,61550,72.4,0.3,170,975,11.0308
"H9X",9740,45.7,48.4,38400,69900,58.2,0.4,125,500,23.9345
"J0A",19150,43,44.8,31800,35720,68,0.3,50,145,1320.2669
"J0B",65700,44.1,46.4,32800,37720,65,0.3,110,355,5103.8733
"J0C",23445,41.5,42,33200,35320,69.8,0.2,30,115,1080.3758
"J0E",51895,45.7,49.6,34000,40080,61,0.3,110,415,2236.4971
"J0G",18625,45.2,48.8,31400,35000,66.6,0.2,10,90,1048.4694
"J0H",52945,41.3,42.4,34400,36560,71.4,0.2,80,235,1954.1085
"J0J",42140,43.3,45.2,34000,37480,68.4,0.2,70,145,1510.2477
"J0K",149240,45.1,48.4,31000,34520,65,0.2,215,695,12791.2938
"J0L",83315,40.1,40,37600,40000,74.6,0.2,260,670,1274.3479
"J0M",25105,28.5,25,32400,38520,74.4,0.3,15,35,7588.2175
"J0N",52115,39.3,40,37600,40480,75,0.2,35,320,216.8419
"J0P",42965,42.7,44,36800,41520,70.8,0.3,60,360,581.7591
"J0R",39045,47.6,52.4,37600,44960,63.5,0.3,75,325,245.5991
"J0S",34120,43.8,45.6,32400,35840,66.4,0.3,65,155,1459.7824
"J0T",51465,50,56.4,31200,37360,58.7,0.3,25,240,5319.6991
"J0V",27295,48.3,54,30400,34880,61.4,0.3,30,110,2377.9266
"J0W",16610,50.2,56.8,28800,33040,55.2,0.3,30,20,9333.9895
"J0X",48485,46,50.8,32400,36880,63.1,0.3,70,180,22196.4282
"J0Y",29035,41,42,36000,40560,74.4,0.3,30,100,758980.8299
"J0Z",34455,42.9,44.8,33600,38640,70.6,0.3,35,130,26583.4089
"J1A",9130,45.3,47.6,31000,33640,65.8,0.2,15,60,219.4495
"J1C",6840,42.7,43.2,37200,39280,72.6,0.2,0,40,77.1706
"J1E",25865,40.9,38.4,28800,32080,66.8,0.2,145,1345,18.2747
"J1G",19635,45.4,46.4,31400,35280,63.7,0.3,40,415,11.867
"J1H",29655,39.8,35.2,24600,29640,67.6,0.3,200,1605,23.8305
"J1J",15450,48.7,51.2,34800,42800,61,0.3,65,420,8.268
"J1K",7435,39.2,32.8,25600,32520,67.8,0.3,105,465,7.5532
"J1L",16040,49.4,52.4,31800,37600,58.9,0.3,120,900,25.6087
"J1M",5925,42.3,40.4,29800,36440,66.6,0.3,115,420,27.9132
"J1N",35085,39.2,39.6,39200,42480,74,0.2,65,495,80.0132
"J1R",10960,38,38.8,39600,41440,77.6,0.2,10,45,72.899
"J1S",7865,43.4,44.4,34000,36960,70.2,0.2,0,25,225.0653
"J1T",7990,49.7,54.8,26800,30840,55.3,0.2,15,40,47.1673
"J1X",33945,49,54,32800,39800,62.4,0.3,55,350,333.4512
"J1Z",5740,38.2,39.2,34800,37320,71.8,0.2,0,0,170.087
"J2A",12265,39.1,40,35600,38080,73.6,0.2,30,150,95.4163
"J2B",33110,42,42,30600,34640,68,0.3,120,685,97.3022
"J2C",29990,48.9,52.4,30800,35800,64.2,0.3,175,680,26.7063
"J2E",4455,41.1,42,33600,35720,72.2,0.2,25,140,25.2983
"J2G",28295,48.5,52.4,28000,32080,60.9,0.2,45,490,17.6698
"J2H",22475,42.8,44.4,38400,42480,67.6,0.2,55,175,55.9278
"J2J",18345,44.6,46.4,32400,35280,66.8,0.2,90,280,79.0886
"J2K",18290,46,48,31400,35040,62.9,0.2,50,125,138.8112
"J2L",11380,44.6,47.6,43200,55400,68.4,0.3,35,190,114.0497
"J2M",7240,43.6,47.2,38400,44200,70,0.3,0,50,117.9905
"J2N",10150,41.2,40.4,32800,35320,69.4,0.2,25,55,92.1177
"J2R",10380,43.5,45.6,36400,38160,69.4,0.2,0,70,104.793
"J2S",29945,46.7,47.6,29400,34280,61.3,0.3,155,1540,26.3973
"J2T",17070,44.8,45.6,33600,36920,67.4,0.2,60,435,57.6603
"J2W",28760,40.6,42,41600,45360,74.2,0.2,15,185,50.9989
"J2X",20485,42,42,35600,39040,70.4,0.2,15,135,58.8232
"J2Y",5575,41.9,44.4,38800,41200,72,0.2,0,10,69.4986
"J3A",9135,55.2,61.6,27600,31280,50.2,0.2,45,225,3.172
"J3B",33910,42.7,42.4,33200,36400,70,0.2,65,365,44.4399
"J3E",30045,41.9,44.4,43200,47720,77.2,0.2,40,245,48.4921
"J3G",33665,42.3,42.4,40800,44440,72.6,0.2,55,225,66.8893
"J3H",26675,43.1,45.2,43200,48640,71,0.3,50,230,49.4563
"J3L",53680,39.6,40.4,42000,46520,76.6,0.2,65,540,165.1375
"J3M",11345,40.2,40,37600,39080,75.6,0.2,85,115,63.2314
"J3N",17055,39.6,41.6,43600,47560,79.2,0.2,25,220,35.8423
"J3P",25025,49.4,54,30400,35840,62.2,0.3,15,85,74.9808
"J3R",14455,47.5,51.2,31600,37000,64,0.3,30,150,20.0611
"J3T",8620,48.7,52.4,33600,37040,64.4,0.2,30,50,96.114
"J3V",26050,44,46,46000,55250,70.6,0.3,85,570,42.8486
"J3X",21200,41,42.4,43200,47520,76,0.2,0,110,94.7984
"J3Y",66360,41.5,42,36800,39720,74.2,0.2,200,1965,57.6043
"J3Z",5775,38.2,40.4,42800,47200,82.6,0.2,0,60,3.8172
"J4B",41740,45.4,48,45600,53900,71.2,0.3,95,590,71.0215
"J4G",10010,43.9,44.8,39200,44600,73,0.3,55,220,9.1668
"J4H",15590,46.4,46.8,34800,41440,67.8,0.3,110,750,4.4588
"J4J",31100,40.2,39.2,30200,34440,70.2,0.3,230,2575,6.3844
"J4K",27025,39.7,38,29800,33280,71.6,0.3,355,2460,5.7447
"J4L",31865,40.7,40.4,31000,34000,68.8,0.2,260,2630,7.3514
"J4M",13145,41.4,43.2,41200,44480,73.6,0.2,20,205,3.902
"J4N",11380,51.3,55.6,43200,53050,66.6,0.3,65,335,7.2181
"J4P",11250,46.6,48,39600,54350,71.2,0.4,110,445,3.5811
"J4R",10675,44.9,45.2,37600,55000,75.4,0.4,45,415,2.7694
"J4S",6305,45.9,47.6,42000,58350,67.4,0.4,55,390,2.2234
"J4T",19715,39.8,38.8,31200,33720,71.6,0.2,95,1140,4.3328
"J4V",17035,43.1,43.6,32800,37160,70.4,0.3,85,925,4.7752
"J4W",18195,43.4,43.6,29800,34760,66.8,0.3,215,1440,6.0497
"J4X",19195,49.3,52.4,34800,44280,61.3,0.3,195,1110,5.3954
"J4Y",25460,41.3,41.2,35600,42680,73.4,0.3,270,1860,10.4102
"J4Z",28685,39.4,38.8,32800,38080,75,0.3,295,2085,23.337
"J5A",29920,39,40,40400,42640,78.4,0.2,95,575,106.3982
"J5B",8320,41.2,42.4,38000,40800,73.8,0.2,0,105,7.6428
"J5C",17345,42.5,43.6,38400,40640,77.2,0.2,10,170,9.37
"J5J",18080,37.5,37.2,36000,37480,75.6,0.2,10,65,111.2007
"J5K",17740,37,38,39600,42560,76.8,0.2,25,75,92.7051
"J5L",22965,39.3,40,38000,40840,73.2,0.2,35,240,50.3118
"J5M",24005,36.3,34.8,34000,35680,73.2,0.2,35,120,118.2859
"J5R",49405,40.9,42.4,42000,50120,78,0.3,205,1570,60.7439
"J5T",14425,40.4,40.8,35200,38120,72.8,0.2,0,100,68.2198
"J5V",7340,52.4,57.6,26200,31000,55.2,0.3,35,135,62.589
"J5W",26780,40.1,40.4,38000,41440,72.2,0.2,0,135,134.9085
"J5X",8895,39.1,38.8,34000,37320,72.6,0.2,0,10,56.5656
"J5Y",30080,39.8,41.6,40800,43960,73.2,0.2,60,285,9.4043
"J5Z",28005,41.8,43.2,36800,39680,73.8,0.2,40,240,39.0665
"J6A",34315,46.5,48.8,36000,40240,64,0.2,80,290,15.2141
"J6E",46435,48,51.2,30400,35960,60,0.3,85,535,69.2301
"J6J",24855,41.9,42.8,33200,36640,70.6,0.2,45,405,12.939
"J6K",25960,42.1,42.8,34400,36960,70.8,0.2,95,585,21.366
"J6N",16015,43.2,43.6,34800,38520,68.4,0.3,10,80,78.5816
"J6R",14625,38.1,39.2,40000,43200,74.4,0.2,10,185,45.9629
"J6S",24765,46.2,48.8,32000,35960,66,0.2,40,90,96.8242
"J6T",18025,44.5,45.6,30600,33840,63.1,0.2,0,135,11.7367
"J6V",14620,42.1,44,41600,45320,75.8,0.2,30,95,27.6787
"J6W",32425,41.5,42.8,36000,40600,73,0.2,60,375,17.9129
"J6X",25260,42.3,43.6,38800,41840,74,0.2,35,250,29.4211
"J6Y",22925,36.7,38.4,42400,45600,79.6,0.2,35,185,39.0259
"J6Z",19630,40.5,42,41200,48160,72.6,0.3,75,275,10.2674
"J7A",14190,42.9,46,42400,51080,68.4,0.3,15,110,10.6839
"J7B",13065,39.6,43.2,44800,58650,77.2,0.3,25,225,6.9008
"J7C",46675,40.2,41.6,40000,44640,75.8,0.2,70,535,48.0684
"J7E",29355,44.4,44.4,33600,38080,68.2,0.3,125,390,13.5811
"J7G",17310,41.1,42,37600,42640,74.4,0.3,60,230,10.6651
"J7H",8185,41.9,42.8,38800,42800,73,0.3,10,130,12.9074
"J7J",27640,38.8,39.2,38800,42360,76.8,0.2,40,285,93.5204
"J7K",36960,39.8,40.4,39600,41880,77,0.2,15,345,90.948
"J7L",14220,40.2,40.4,38400,43040,75.6,0.2,25,125,15.9454
"J7M",24705,36.5,37.2,36000,37360,77.2,0.2,40,215,39.7182
"J7N",33450,36.6,35.6,38400,40880,77.2,0.2,25,230,390.5746
"J7P",25230,43.1,44.4,35200,38680,69.8,0.2,85,325,11.4666
"J7R",37990,42.6,43.6,36800,41120,71.6,0.2,55,365,65.1247
"J7T",29585,39.1,40.8,41200,46960,78.2,0.3,50,380,144.4892
"J7V",69660,40.8,42,38000,41920,75.8,0.2,205,1570,109.2038
"J7W",14750,40.8,42.4,38400,41640,76.4,0.2,30,275,7.0981
"J7X",5640,38.8,38.8,37200,39200,74.2,0.2,0,0,11.6359
"J7Y",27005,46.6,48.4,30200,34080,63.1,0.3,45,345,22.7619
"J7Z",30230,46,47.6,28800,32840,62.4,0.2,80,315,17.1062
"J8A",10665,42.2,44.4,37200,41520,71.4,0.3,25,70,119.502
"J8B",14010,48.4,53.6,33200,40160,62.5,0.3,60,95,119.6717
"J8C",11665,49.5,55.2,29000,35040,56.9,0.3,45,95,158.4007
"J8E",11045,48.8,53.6,33600,43400,63.4,0.3,20,160,254.3644
"J8G",8210,46.3,50.8,30600,35280,64.8,0.3,20,55,478.1163
"J8H",15140,47.6,51.6,28800,33680,62.4,0.3,0,40,193.6873
"J8L",20055,42.3,43.6,36400,39720,68.4,0.2,10,30,593.05
"J8M",13160,36.9,36,38800,40320,76.2,0.2,10,75,54.4011
"J8N",13830,40,41.2,41600,43520,75.2,0.2,30,135,612.097
"J8P",35320,41,40.8,35600,37560,69.2,0.2,140,770,27.39
"J8R",28950,37.7,38.8,44400,45640,76.8,0.2,35,290,87.2278
"J8T",37830,45.1,47.2,34800,38440,64.2,0.3,260,1595,18.0206
"J8V",27275,39.8,41.6,47600,49720,75.2,0.2,35,390,140.4066
"J8X",11785,44.3,38.8,28200,33880,73.4,0.3,205,1220,5.7692
"J8Y",23805,43.3,42,32000,36000,68.8,0.3,215,2000,7.8877
"J8Z",14815,40.9,40.4,36400,41920,68.4,0.3,145,1325,8.5367
"J9A",22505,38.6,38.4,44400,49080,76.4,0.3,205,1410,14.7303
"J9B",8000,40.5,43.6,53600,58800,75.8,0.3,45,135,112.6504
"J9E",7665,47.1,51.2,27400,32120,60.9,0.3,45,55,570.3774
"J9H",32920,40.7,40.8,40800,44280,73,0.2,205,965,16.2054
"J9J",41340,34.2,34.8,47200,50120,78.6,0.2,270,2040,72.4138
"J9L",14165,46.1,48.8,29800,34240,63.4,0.2,0,10,587.4207
"J9P",33010,42.3,42.8,36800,43800,77,0.3,35,390,3763.974
"J9T",13225,43.1,43.6,35600,40240,71.8,0.3,20,175,430.0445
"J9V",3410,47.8,52,34000,39040,65.2,0.3,50,85,97.322
"J9X",22995,44.4,44.4,33200,39240,69.8,0.3,85,405,96.8313
"J9Y",10755,38.3,38.8,42800,46760,79.4,0.2,0,10,1324.1501
"J9Z",7410,47.1,50.4,30800,36480,68.8,0.3,0,20,148.3596
"K0A",111625,42.1,44,45200,50360,74.2,0.3,145,905,3072.8212
"K0B",21020,46.1,50.4,34800,38960,66.8,0.3,30,100,1223.8974
"K0C",52840,45.1,48.4,36400,40920,67.4,0.3,70,270,2470.942
"K0E",39650,45.8,49.6,35600,40760,65.2,0.3,40,190,1979.2436
"K0G",39860,46,50.4,39200,43880,66,0.3,105,255,2675.2361
"K0H",47285,46.7,51.2,38400,43880,64,0.3,90,205,5232.2271
"K0J",34325,47.3,52.4,34000,40400,59.8,0.3,65,190,6565.4195
"K0K",115850,46.6,50.8,34800,40400,63.2,0.3,85,585,5464.1988
"K0L",78140,48.2,54,34000,40520,60.6,0.3,140,295,7368.4296
"K0M",53815,50.4,56.8,34000,42080,58.7,0.3,115,150,5512.5103
"K1A",595,65,72,40400,41800,19.5,0.2,0,30,0.5559
"K1B",17770,41.5,40.4,38400,44000,70.2,0.3,95,875,10.5811
"K1C",37235,44.2,46,46400,50800,67,0.2,230,990,17.6679
"K1E",14510,44.7,46.8,44400,46680,65.8,0.2,25,260,6.5016
"K1G",35075,41.6,38.8,34800,41680,68.6,0.3,410,2930,35.6769
"K1H",16305,43.7,44,44800,55950,66.4,0.3,200,930,6.8364
"K1J",28270,42,41.6,38800,46200,64.4,0.3,385,2725,12.6424
"K1K",32045,42.9,42.4,33600,41000,65.8,0.3,260,2260,13.4204
"K1L",18215,43.2,41.2,32400,40600,67.4,0.3,210,1880,3.3005
"K1M",6765,47.8,50,59200,81500,61.6,0.5,190,390,2.7892
"K1N",26640,39.7,34,30800,41840,69,0.4,725,2730,4.1394
"K1P",645,35.6,32.4,47600,61800,90,0.4,40,55,0.4258
"K1R",20345,40.3,36,38800,45800,80.2,0.3,305,1300,3.7073
"K1S",31260,41.3,39.2,49200,62850,70.8,0.4,460,2255,6.3408
"K1T",40055,37.1,36,37200,43760,76,0.3,495,2965,46.4052
"K1V",57160,39.5,38,36400,44480,69.8,0.3,580,4360,34.9793
"K1W",13825,37.6,37.2,50800,54000,81.2,0.2,105,490,10.0267
"K1X",4595,34.8,34.8,48000,50280,85.2,0.3,80,285,35.8594
"K1Y",20710,41.5,40,50800,62650,77.4,0.4,270,685,5.7765
"K1Z",22715,40.1,38.4,37600,48880,75.2,0.4,235,1565,6.621
"K2A",17155,45.5,47.2,48800,61000,68.8,0.3,215,785,5.0035
"K2B",33255,42.2,39.6,32800,39440,66.4,0.3,515,3565,7.9454
"K2C",29360,41.5,38,35600,40480,72,0.3,480,2425,13.15
"K2E",20170,42.7,40,36000,44440,63.8,0.3,315,2100,10.7391
"K2G",50690,40.6,40,39600,47400,73.8,0.3,515,3750,28.2119
"K2H",26760,45.3,46.4,42800,48680,67.8,0.3,140,750,17.2193
"K2J",81865,36.7,36.8,44000,48920,80.6,0.3,880,5620,32.134
"K2K",24925,43.5,45.2,44800,53200,69.8,0.3,425,1675,15.3888
"K2L",18740,42.6,43.2,42000,46880,72.2,0.2,135,590,6.4717
"K2M",28705,38.1,38.4,48400,53150,80.6,0.2,235,1165,9.1575
"K2P",18825,40.3,34.4,38800,49720,78.2,0.4,310,1405,1.3093
"K2R",1240,45.2,50,50400,70200,66.4,0.4,0,0,67.4299
"K2S",38900,39.2,39.6,50000,55800,78.8,0.2,265,1570,132.0912
"K2T",11870,37.5,39.2,48400,55200,82.2,0.3,165,1285,11.7509
"K2V",10485,32.2,32.4,46000,50760,85.4,0.2,170,1170,2.3724
"K2W",8550,36.9,39.6,50800,58000,82.6,0.3,90,470,64.675
"K4A",62125,37.9,38.4,48800,51300,77.2,0.2,460,2085,32.7591
"K4B",4705,43.3,47.2,45600,49200,67.2,0.3,10,65,161.02
"K4C",4535,45.1,48.8,49600,55950,66.8,0.3,25,40,27.9819
"K4K",16960,42.6,44,43200,46800,71,0.2,20,175,54.1
"K4M",14380,41.9,43.2,53200,64700,68.6,0.3,120,425,54.8823
"K4P",10445,41.2,44.4,52000,58750,76,0.3,25,85,60.4823
"K4R",8740,39.5,39.6,48800,51800,76.8,0.2,20,55,88.1735
"K6A",12530,49.4,54.8,29400,35520,58.2,0.3,20,155,107.9393
"K6H",30440,44.7,46,30400,34840,59.8,0.3,120,685,75.7605
"K6J",17825,45.5,46.8,30200,34720,61.1,0.3,55,430,25.6513
"K6K",3450,43.4,45.2,36400,40120,64.4,0.2,25,50,12.7954
"K6T",690,45.4,49.2,41200,43000,77,0.2,0,0,24.7581
"K6V",28175,48.3,52,33200,39200,58.8,0.3,135,440,232.9388
"K7A",17575,44.6,46.8,34000,38920,64.8,0.3,30,95,354.561
"K7C",20380,42.8,44,41600,46080,72.4,0.3,45,195,210.6034
"K7G",8740,49.5,54.4,36400,42520,59.5,0.3,15,70,136.9739
"K7H",16175,50,55.6,36800,43080,57.8,0.3,35,120,621.91
"K7K",33705,40.2,37.2,31600,38320,68.6,0.3,270,1290,28.8285
"K7L",19620,43.3,40,34000,46600,57,0.4,385,1215,140.8027
"K7M",49265,44.8,44.4,35600,41720,62.4,0.3,295,2160,44.1686
"K7N",8395,41.5,41.2,40400,43240,71.2,0.2,20,65,3.9663
"K7P",24660,41.1,41.2,42400,47800,71.4,0.2,170,795,29.7964
"K7R",15480,47.5,50.4,34000,38760,61.5,0.3,15,90,333.5821
"K7S",14265,45.6,48,37200,42200,66.4,0.3,30,130,185.3303
"K7V",13940,47.7,52,33200,38840,63.1,0.3,0,40,665.4234
"K8A",26390,44.6,45.6,34400,39480,63.1,0.3,30,130,617.5258
"K8B",490,40,42.4,47600,59000,75,0.2,0,0,4.0215
"K8H",16185,33.1,31.2,48400,48040,80.4,0.2,35,170,151.5124
"K8N",30390,45.6,48,35200,41800,63.1,0.3,100,555,199.5057
"K8P",23165,44.6,44.4,30400,35120,62,0.3,45,840,15.0213
"K8R",2015,42.8,43.6,38400,40440,66.4,0.2,0,10,10.6416
"K8V",28935,43.3,43.6,34000,38440,66.8,0.2,80,120,154.0598
"K9A",26755,48.9,53.2,36000,43280,61.2,0.3,65,255,179.6388
"K9H",29705,43.9,42,30000,36080,60.8,0.3,115,935,16.6607
"K9J",44545,44.1,44,32400,38640,64,0.3,105,960,264.2858
"K9K",13360,45.7,47.2,38000,45080,66.4,0.3,40,380,10.1592
"K9L",7810,43.4,43.6,37200,42400,63.6,0.3,0,80,32.935
"K9V",29370,47,49.6,32400,38160,60.9,0.3,80,215,253.2121
"L0A",15325,42.4,44,40800,47960,73.2,0.3,20,65,663.7273
"L0B",15500,43.8,46.4,40400,48880,71.6,0.3,0,75,496.0309
"L0C",9485,42.8,44.8,40400,48680,74.2,0.3,0,30,342.4574
"L0E",21895,44.2,46.8,35600,41720,72.8,0.3,20,125,434.5302
"L0G",44945,40.9,41.6,41200,49760,73.8,0.3,100,440,623.2527
"L0H",1220,45.3,49.2,36400,54200,65.2,0.4,0,30,38.9191
"L0J",4945,42.8,46,47200,89300,64,0.4,25,25,37.0166
"L0K",38385,46.5,50.8,36000,41960,65.4,0.3,10,75,1721.4541
"L0L",42020,43.8,46.8,38800,45400,72.4,0.3,100,315,1058.0793
"L0M",37230,39.7,39.6,38800,41760,75.2,0.2,55,205,826.5364
"L0N",2395,44.1,48.8,37200,46520,70.4,0.3,0,0,72.7884
"L0P",7775,44.3,48,40800,67300,78,0.3,30,155,235.8533
"L0R",83600,40.5,40.8,40400,46640,72.6,0.3,175,1165,984.5589
"L0S",60410,48.3,53.2,38000,46400,60.6,0.3,245,980,623.7178
"L1A",15845,47.6,51.2,37200,44040,62.2,0.3,20,50,200.3166
"L1B",13205,44.4,46,40400,47040,69.4,0.3,30,115,73.514
"L1C",50215,38,37.2,41200,45720,77.8,0.2,95,600,185.8759
"L1E",28325,38.8,39.2,43600,47880,77.6,0.2,90,360,25.9671
"L1G",43495,43.8,43.2,33600,38080,64.6,0.3,255,1590,19.8828
"L1H",32300,42,41.2,32000,36240,69.8,0.3,120,785,57.1599
"L1J",43110,41.3,40.4,33200,37280,69.4,0.3,140,1015,23.2312
"L1K",43570,37.3,37.2,38400,44320,77.4,0.2,255,1065,14.5586
"L1L",12975,32.1,31.6,34000,41000,80,0.3,170,1065,30.8847
"L1M",22540,35.9,38,50000,55900,84.2,0.2,40,440,19.11
"L1N",49650,43.1,43.6,39200,45480,72.2,0.3,245,1355,35.5046
"L1P",22925,35.9,36.4,41200,48000,81.2,0.3,110,810,26.5078
"L1R",42220,39,39.2,41600,49120,79.8,0.3,215,1400,21.735
"L1S",42045,42,42,37200,42960,72.2,0.2,165,1440,20.2473
"L1T",52630,38.3,37.6,35200,42560,81,0.2,305,1770,23.1674
"L1V",52790,41.7,42,39200,46200,76,0.3,225,1280,17.7631
"L1W",18435,42.8,42.8,40000,47080,74.8,0.3,60,495,16.757
"L1X",24640,37.2,36,38000,46480,81.2,0.3,140,900,38.4469
"L1Y",1975,43.8,47.6,43200,53000,73.8,0.3,0,0,119.2188
"L1Z",31990,34.6,35.2,38400,43720,84,0.2,200,1250,23.2281
"L2A",17295,45.9,49.2,32000,37080,62.9,0.3,30,315,42.5988
"L2E",18590,45.4,46.4,28400,32840,64.6,0.2,140,850,12.7042
"L2G",30345,44.1,44.8,30000,32800,65.4,0.3,250,1695,65.9841
"L2H",29820,41,42,33200,39120,71.4,0.3,225,1305,50.4623
"L2J",14910,46.9,50,34400,40040,61.9,0.3,25,205,21.3045
"L2M",33705,44.9,46,32400,37160,64.6,0.3,145,940,15.7486
"L2N",30715,49,52,35200,42000,61.4,0.3,95,735,12.8871
"L2P",15130,41.4,40,32400,35120,67.6,0.2,65,450,8.7476
"L2R",25560,41.8,40.4,30000,36600,67.6,0.3,165,1330,62.1652
"L2S",19400,42,42,33200,39760,69.4,0.3,60,580,10.7378
"L2T",11400,43.8,42,31200,40360,59.9,0.3,170,870,10.8682
"L2V",19795,39.8,37.6,32800,36960,70,0.3,145,825,23.5948
"L2W",1960,40.4,42,34400,53150,72,0.3,0,30,0.918
"L3B",25870,43,43.2,30800,34880,63.9,0.3,115,560,124.5739
"L3C",33465,44.4,45.6,34000,38160,65,0.3,140,810,23.4021
"L3K",19460,47.3,50.8,32800,37480,64.6,0.3,45,140,122.9781
"L3L",880,49.4,51.6,40800,44100,69,0.4,0,10,6.4533
"L3M",28430,43.5,44.8,42000,48320,72.6,0.3,105,460,68.7098
"L3P",37335,44.5,47.2,35200,45560,71.6,0.3,340,1415,43.7598
"L3R",62060,44.8,46.4,28600,40040,69.4,0.3,910,3465,19.4291
"L3S",55400,40.7,39.6,26400,33800,74.4,0.3,550,2895,15.3115
"L3T",50405,45.5,47.2,34400,47320,67.4,0.4,815,4075,24.2116
"L3V",48650,45.6,47.6,34000,39440,64.4,0.3,220,465,320.9005
"L3X",45285,37.8,39.2,37200,45360,83.6,0.3,325,1675,18.6141
"L3Y",43555,44.4,45.6,36000,42720,73.2,0.3,255,1400,48.1146
"L3Z",41075,37.4,37.2,36800,41960,79.8,0.2,140,1115,157.2
"L4A",50390,40.9,41.6,40800,52000,72.2,0.3,295,1165,228.6984
"L4B",36080,44,45.6,31400,44840,74.2,0.4,655,2650,15.4284
"L4C",74640,44.5,46,30800,42080,71.6,0.3,995,6525,23.7011
"L4E",54605,38.4,40.4,35200,46600,82.2,0.3,780,3355,32.917
"L4G",62060,40.9,42,39200,53600,74.6,0.3,500,2675,50.0005
"L4H",77355,36.8,37.6,38800,47480,83.4,0.3,310,2195,76.334
"L4J",75120,43.6,45.6,36800,49320,73.4,0.3,555,3435,22.3937
"L4K",20170,40.4,37.6,33200,39640,79.4,0.3,335,1790,32.8087
"L4L",55430,46.1,48,36800,48040,71.4,0.3,320,1605,36.3704
"L4M",46905,40.2,38,33600,40120,72.4,0.3,345,2505,77.8005
"L4N",100835,40.3,39.6,35600,41880,75.8,0.3,230,2600,55.6162
