"geo_name","Total population","Average age","Median age","Median after-tax income","Average after-tax income","Employment income (%)","Gini index","External migrants 1 year ago","External migrants 5 years ago","LANDAREA"
"E5A",1625,47.1,51.6,27000,29600,63.2,0.3,0,0,882.1724
"E5B",3335,50.2,56.4,33600,43720,55,0.3,25,125,347.8057
"E5C",4355,44.7,47.6,32400,36040,69.4,0.3,0,25,516.218
"E5E",945,46.7,50.8,28800,34300,56.8,0.2,15,25,39.5937
"E5G",2735,43,44,33600,41720,73.4,0.3,0,30,156.521
"E5H",2910,44.3,47.6,31600,34880,69.6,0.2,10,10,372.7658
"E5J",2115,45.6,48.8,35600,44680,69.2,0.3,0,0,442.5738
"E5K",7260,43.2,45.2,38000,43280,74.8,0.2,0,15,600.1638
"E5L",2905,45.7,48.8,30600,33080,68.2,0.2,20,20,1553.2384
"E5M",2170,49.8,55.2,31400,36360,62.6,0.3,0,15,610.8687
"E5N",12265,43.1,44.8,34800,39320,70.8,0.3,0,40,601.3895
"E5P",2680,44.1,47.2,30000,33920,71.4,0.3,0,0,317.1822
"E5R",1515,47.6,52,29400,35200,67.2,0.3,0,0,631.349
"E5S",1885,47.4,52,36000,39280,67.2,0.3,0,15,116.1286
"E5T",3145,45,48.8,29800,35960,70.4,0.3,0,15,477.7522
"E5V",715,48.1,52,32400,37000,67,0.3,0,0,38.3193
"E6A",1240,48.2,53.2,28800,29800,63.6,0.2,0,0,2335.0003
"E6B",1575,46.7,51.2,28400,31650,65.2,0.3,0,0,1628.9512
"E6C",2105,43.2,45.2,32800,34360,73.2,0.2,0,25,563.0066
"E6E",1495,45.2,48.8,28800,32800,64,0.2,0,0,579.7759
"E6G",2655,47.6,52,31800,37040,65,0.3,0,20,571.8624
"E6H",1215,50,55.2,29800,36000,62.8,0.3,0,15,1001.8805
"E6J",1235,48.8,54.8,27400,31200,62.4,0.3,0,40,548.9555
"E6K",4085,46.2,50.4,33600,38160,67.8,0.3,15,25,811.5974
"E6L",4820,44.1,47.2,33200,37440,71.6,0.3,0,0,432.084
"E7A",3705,48,53.2,30600,33600,67,0.3,25,120,601.2534
"E7B",5645,46.6,50.4,31400,36000,70.4,0.2,0,40,650.5028
"E7C",5060,47.6,52,31800,34880,66.6,0.3,0,10,1066.1272
"E7E",4095,46.9,51.2,29800,32240,67.8,0.2,0,45,914.2085
"E7G",3620,48.9,54,26600,30720,61.1,0.3,0,0,3710.547
"E7H",5600,45.2,49.2,27000,31120,60.4,0.3,15,20,583.6354
"E7J",1905,45.6,49.2,29800,32800,63.4,0.2,0,0,777.2255
"E7K",2405,44.2,47.6,29600,32000,66.4,0.2,0,0,306.8673
"E7L",5100,44.3,48,30600,35280,72.4,0.3,0,110,1035.8081
"E7M",10435,43.3,44.4,30000,40120,59.8,0.3,15,415,435.0027
"E7N",3155,42.6,45.6,31800,33800,69,0.3,15,65,412.4201
"E7P",3470,44.7,48,31600,34920,74,0.3,0,35,341.7334
"E8A",3645,45.6,48.8,31400,33120,67,0.2,0,55,2478.2472
"E8B",2305,45.6,49.2,28800,30400,60.8,0.3,10,10,2049.8202
"E8C",3695,50.6,56,28800,31320,51.7,0.3,15,15,17.1494
"E8E",5115,47.6,52.4,32400,36520,61.5,0.3,0,0,1228.0521
"E8G",2465,54.5,59.2,23600,28040,49.4,0.3,10,10,1352.3319
"E8J",5625,49,54,30600,33600,64.4,0.3,0,15,173.8053
"E8K",8715,48.2,52.4,31200,35480,65,0.3,30,55,326.968
"E8L",2255,50.4,53.6,27800,31040,58.4,0.2,0,0,654.6006
"E8M",2020,47.4,52,27200,31800,62.6,0.3,0,0,196.0859
"E8N",2400,52.5,57.6,27000,29920,54,0.2,0,0,78.2525
"E8P",3405,50.6,55.2,28800,33120,60.1,0.2,0,0,198.5975
"E8R",3125,50.2,54.4,26000,29000,58.3,0.2,0,0,229.68
"E8S",4610,48.8,52.8,30800,36440,61.7,0.3,10,75,62.2297
"E8T",5715,50.7,55.6,29000,33640,57.5,0.3,25,25,185.8992
"E9A",2230,50.8,54.8,31200,33760,56,0.2,0,15,512.8748
"E9B",2275,47.3,51.2,29400,33760,61.6,0.2,0,0,567.6745
"E9C",2150,50.6,56,25800,31320,55.4,0.3,0,0,1488.7928
"E9E",3870,47.6,51.2,29200,33800,62.3,0.3,0,0,6211.0765
"E9G",5300,45.6,48.8,26600,29480,56.9,0.2,0,10,462.1294
"E9H",2930,49.9,53.6,26800,28240,53.4,0.2,0,0,262.4844
"G0A",83410,43.9,45.6,37600,41440,68.8,0.2,135,470,11122.098
"G0C",45955,49.1,54,30000,34280,58.4,0.2,20,115,8551.1387
