geo_name,people per km2,Average age of the population,Median age of the population,0 to 4 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 to 89 years,90 to 94 years,95 to 99 years,100 years and over,Single-detached house,Semi-detached house,Row house,Apartment or flat in a duplex,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Other single-attached house,Movable dwelling,Mobility status 1 year ago: Non-movers,Mobility status 1 year ago: Non-migrants,Mobility status 1 year ago: Intraprovincial migrants,Mobility status 1 year ago: Interprovincial migrants,Mobility status 1 year ago: External migrants,Mobility status 5 years ago: Non-movers,Mobility status 5 years ago: Non-migrants,Mobility status 5 years ago: Intraprovincial migrants,Mobility status 5 years ago: Interprovincial migrants,Mobility status 5 years ago: External migrants,Employment income,Without after-tax income,"Under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $124,999","$125,000 and over",Median after-tax income in 2019 among recipients ($),Average after-tax income in 2019 among recipients ($),Gini index on adjusted household after-tax income,cluster
A0A,0.0003099958896457,0.5221932114882508,0.5785123966942148,0.0337191186289784,0.0442911195192521,0.0515245938125973,0.0514133095926997,0.0405074560427331,0.0351658134876474,0.0431782773202759,0.0524148675717783,0.0588693523258401,0.0671043845982639,0.0764522590696639,0.0900289338971733,0.0944803026930781,0.0914756287558424,0.0795682172267972,0.0477409303360783,0.0251502336968617,0.0117961273091475,0.0040062319163142,0.0008902737591809,0.0002225684397952,0.919240506329114,0.0189873417721519,0.0162025316455696,0.0250632911392405,0.0131645569620253,0.000253164556962,0.0012658227848101,0.0060759493670886,0.9413087474702048,0.0183269619968518,0.0278839667191364,0.0116932763660894,0.0007870474477175,0.781340432920477,0.054867461511749,0.1624030559092487,0.0296330593818729,0.0012732955203148,0.644,0.0315640298892038,0.0830971399123937,0.1489306879670188,0.2315124967791806,0.1716052563772223,0.1239371296057717,0.0756248389590311,0.0450914712702911,0.0323370265395516,0.0194537490337541,0.0109507858799278,0.014815769131667,0.0114661169801597,29800.0,36480.0,0.3,10
A0B,0.0001325445692446,0.6370757180156659,0.6942148760330579,0.0269639616282084,0.0334456831734508,0.0407052113041223,0.0391495981332641,0.0321493388644023,0.0308529945553539,0.0352605652061187,0.0401866735805029,0.0451127819548872,0.0560020741508944,0.0775213896810993,0.095670210007778,0.1135597614726471,0.1135597614726471,0.1003370495203526,0.0637801400051853,0.0326678765880217,0.0150375939849624,0.0057039149598133,0.0012963443090484,0.0002592688618096,0.9478021978021978,0.0087912087912087,0.0109890109890109,0.0071428571428571,0.0159340659340659,0.0,0.001098901098901,0.0082417582417582,0.931842105263158,0.0223684210526315,0.031578947368421,0.0139473684210526,0.0,0.7707997852925389,0.0483091787439613,0.1784755770263016,0.0356951154052603,0.0026838432635534,0.603,0.0230455075845974,0.0802217036172695,0.1671528588098016,0.249124854142357,0.1726954492415402,0.1187281213535589,0.0708868144690781,0.0402567094515752,0.0274212368728121,0.0175029171528588,0.0110851808634772,0.0116686114352392,0.0102100350058343,28600.0,35160.0,0.3,10
A0C,0.0001249812470443,0.626631853785901,0.677685950413223,0.0258980785296574,0.0355054302422723,0.0380116959064327,0.0426065162907268,0.0342522974101921,0.0284043441938178,0.0342522974101921,0.0426065162907268,0.0480367585630743,0.0639097744360902,0.0793650793650793,0.1006683375104427,0.1111111111111111,0.1090225563909774,0.0914786967418546,0.0572263993316624,0.0321637426900584,0.0167084377610693,0.0087719298245614,0.0012531328320802,0.0,0.9340463458110516,0.0098039215686274,0.0124777183600713,0.0133689839572192,0.0231729055258467,0.0,0.0017825311942959,0.0044563279857397,0.9433724832214764,0.0264261744966442,0.0134228187919463,0.0159395973154362,0.0008389261744966,0.7805925289823958,0.0592528982395878,0.1558608844997853,0.0416487762988407,0.004293688278231,0.5760000000000001,0.0267857142857142,0.0822368421052631,0.1748120300751879,0.2716165413533835,0.1987781954887218,0.1193609022556391,0.0554511278195488,0.0277255639097744,0.0169172932330827,0.0093984962406015,0.0056390977443609,0.006578947368421,0.0056390977443609,26600.0,31760.0,0.3,10
A0E,9.50936330768e-05,0.5848563968668408,0.6446280991735537,0.0299387081565299,0.0344177274870344,0.0473833097595473,0.0478547854785478,0.0393682225365393,0.0304101838755304,0.0363036303630363,0.0433757661480433,0.0513908533710513,0.0648279113625648,0.0815652993870815,0.0959453088165959,0.0947666195190947,0.1037246581801037,0.0917020273455917,0.0544554455445544,0.0318246110325318,0.0136727958510136,0.0058934464875058,0.0011786892975011,0.0,0.9019507186858317,0.0143737166324435,0.0266940451745379,0.0272073921971252,0.021047227926078,0.0,0.0015400410677618,0.0071868583162217,0.9423631123919308,0.0288184438040345,0.0163304514889529,0.0122478386167146,0.0,0.808714918759232,0.07040866568193,0.1198916789758739,0.0369276218611521,0.001230920728705,0.63,0.0277329025309639,0.0845449649973074,0.1739364566505115,0.2444803446418955,0.1658589122240172,0.1133548734518039,0.0705438879913839,0.0417339795368874,0.0301561658589122,0.0161550888529886,0.00942380183091,0.0126548196015078,0.0088852988691437,27400.0,34640.0,0.3,10
A0G,6.13457612605e-05,0.6135770234986948,0.6694214876033059,0.0286657661713942,0.0357196458051928,0.0441242683475911,0.044574515983791,0.0328680774425934,0.0279153534443944,0.0330181599879933,0.039921957076392,0.0508779828905898,0.064985742158187,0.0817949872429836,0.094552003601981,0.1004052228725799,0.1082095152333783,0.0936515083295812,0.059882935614588,0.0354194807143929,0.0156085847215968,0.0064535494521987,0.0012006603631997,0.0003001650907999,0.9296197464976652,0.024349566377585,0.0126751167444963,0.0086724482988659,0.0156771180787191,0.0,0.0013342228152101,0.0076717811874583,0.939347526420585,0.0261908408638382,0.0217491193138306,0.0125593505896768,0.0004594884362076,0.7795732663947286,0.0614998431126451,0.1567304675243175,0.0467524317540006,0.0020395356134295,0.5589999999999999,0.0275496235455167,0.0906913073237508,0.1930184804928131,0.2522245037645448,0.1810403832991102,0.1131074606433949,0.0590349075975359,0.0309719370294318,0.0205338809034907,0.0126625598904859,0.0065023956194387,0.007015742642026,0.0058179329226557,26400.0,32040.0,0.3,10
A0H,2.29020888571e-05,0.5953002610966058,0.6528925619834712,0.0292624664078829,0.0325470289638698,0.044490892803822,0.0450880859958196,0.0388175574798447,0.0349358017318602,0.0346372051358614,0.0394147506718423,0.0504628247237981,0.0653926545237384,0.0845028366676619,0.0943565243356225,0.1065989847715736,0.1042102120035831,0.0862944162436548,0.0540459838757838,0.0316512391758734,0.0164228127799343,0.0056733353239773,0.0008957897879964,0.0,0.8856015779092702,0.0335305719921104,0.0414201183431952,0.0151216305062458,0.0138067061143984,0.0,0.0013149243918474,0.0092044707429322,0.9375951293759512,0.0337899543378995,0.0173515981735159,0.010958904109589,0.0,0.7651278852152215,0.0795383655645664,0.1547099189020586,0.037117903930131,0.0006238303181534,0.584,0.0338638672536403,0.0894006095496105,0.173721639011175,0.2526244497121571,0.1733830003386386,0.11581442600745,0.0663731798171351,0.0342025059261767,0.0253979004402302,0.0132069082289197,0.0101591601760921,0.0064341347781916,0.0047409414155096,26800.0,32200.0,0.3,10
A0J,0.0001173144289877,0.6135770234986948,0.6611570247933886,0.028685790527018,0.0333555703802535,0.0426951300867244,0.0406937958639092,0.038692461641094,0.0340226817878585,0.0333555703802535,0.0380253502334889,0.0446964643095396,0.0680453635757171,0.0867244829886591,0.0873915943962641,0.1114076050700467,0.1060707138092061,0.0893929286190793,0.0607071380920613,0.029352901934623,0.0173448965977318,0.0073382254836557,0.0013342228152101,0.0,0.8688046647230321,0.0174927113702623,0.053935860058309,0.0218658892128279,0.0262390670553935,0.0,0.0014577259475218,0.0087463556851311,0.9224489795918368,0.027891156462585,0.0333333333333333,0.0163265306122449,0.0,0.7205882352941176,0.0819327731092437,0.1967787114845938,0.0616246498599439,0.0,0.593,0.0244274809160305,0.1,0.1916030534351145,0.2412213740458015,0.1618320610687023,0.1015267175572519,0.0679389312977099,0.0381679389312977,0.0251908396946564,0.015267175572519,0.0099236641221374,0.0137404580152671,0.0083969465648854,26000.0,32720.0,0.3,10
A0K,1.20379910534e-05,0.608355091383812,0.6528925619834712,0.0267639902676399,0.0316301703163017,0.0450121654501216,0.0431873479318734,0.035279805352798,0.0318329278183292,0.0340632603406326,0.0407542579075425,0.0478507704785077,0.0650851581508515,0.0918491484184914,0.1013787510137875,0.106853203568532,0.1005677210056772,0.0855636658556366,0.0553527980535279,0.0332522303325223,0.0168288726682887,0.0054744525547445,0.0008110300081103,0.0,0.935088515660463,0.0113481615978211,0.0136177939173853,0.0090785292782569,0.0186109850204266,0.0,0.0018157058556513,0.0104403086699954,0.935727402570904,0.0250969189961232,0.02040399918384,0.0175474392981024,0.0012242399510304,0.7947116385592338,0.0530918176139912,0.1486570893191755,0.0493441599000624,0.0035394545075994,0.605,0.0240439661094572,0.0714449278681016,0.1664758415388138,0.2578429127547515,0.185940004579803,0.12113579116098,0.0677810854133272,0.0345775131669338,0.0256468971834211,0.0158003205862147,0.0103045569040531,0.0107625372108999,0.0075566750629722,28400.0,34200.0,0.3,10
A0L,0.0001437047567885,0.5117493472584858,0.5619834710743802,0.0333111259160559,0.0479680213191205,0.0486342438374417,0.055962691538974,0.0399733510992671,0.0353097934710193,0.0499666888740839,0.0479680213191205,0.0606262491672218,0.0646235842771485,0.0792804796802131,0.0879413724183877,0.0892738174550299,0.0919387075283144,0.0819453697534976,0.0479680213191205,0.0233177881412391,0.0099933377748167,0.0026648900732844,0.0006662225183211,0.0,0.9187116564417178,0.0061349693251533,0.0260736196319018,0.0414110429447852,0.0061349693251533,0.0,0.0,0.0015337423312883,0.9308219178082192,0.0260273972602739,0.0280821917808219,0.0150684931506849,0.0,0.7282913165266106,0.0784313725490196,0.1925770308123249,0.0539215686274509,0.0,0.625,0.0276073619631901,0.0766871165644171,0.1441717791411043,0.2070552147239263,0.1840490797546012,0.1403374233128834,0.0835889570552147,0.0498466257668711,0.0322085889570552,0.0245398773006134,0.0115030674846625,0.0099693251533742,0.0069018404907975,32000.0,36920.0,0.2,10
A0M,4.46525512574e-05,0.608355091383812,0.6611570247933886,0.0219579139981701,0.0402561756633119,0.0420860018298261,0.0521500457456541,0.031107044830741,0.0292772186642269,0.0320219579139981,0.041171088746569,0.0484903934126258,0.0686184812442818,0.0795974382433668,0.0997255260750228,0.1006404391582799,0.1134492223238792,0.0832570905763952,0.0640439158279963,0.0329368709972552,0.0137236962488563,0.0054894784995425,0.0018298261665141,0.0,0.9015748031496064,0.0157480314960629,0.0,0.0295275590551181,0.0472440944881889,0.0,0.0059055118110236,0.0,0.950834879406308,0.0287569573283859,0.0120593692022263,0.0092764378478664,0.0,0.8096135721017907,0.0697455230914231,0.119698397737983,0.0348727615457115,0.0,0.636,0.0318930041152263,0.0843621399176954,0.1594650205761316,0.2304526748971193,0.1574074074074074,0.1203703703703703,0.0905349794238683,0.0576131687242798,0.0329218106995884,0.0185185185185185,0.0072016460905349,0.0061728395061728,0.0041152263374485,29400.0,36440.0,0.2,10
