"geo_name","cluster","LANDAREA","Total population","Median age","Average age","Median after-tax income","Average after-tax income","Employment income (%)","Gini index","External migrants 1 year ago","External migrants 5 years ago"
"K7A",11,354.561,17575,46.8,44.6,34000,38920,64.8,0.3,30,95
"K7C",7,210.6034,20380,44,42.8,41600,46080,72.4,0.3,45,195
"K7G",4,136.9739,8740,54.4,49.5,36400,42520,59.5,0.3,15,70
"K7H",4,621.91,16175,55.6,50,36800,43080,57.8,0.3,35,120
"K7K",11,28.8285,33705,37.2,40.2,31600,38320,68.6,0.3,270,1290
"K7L",6,140.8027,19620,40,43.3,34000,46600,57,0.4,385,1215
"K7M",11,44.1686,49265,44.4,44.8,35600,41720,62.4,0.3,295,2160
"K7N",7,3.9663,8395,41.2,41.5,40400,43240,71.2,0.2,20,65
"K7P",2,29.7964,24660,41.2,41.1,42400,47800,71.4,0.2,170,795
"K7R",4,333.5821,15480,50.4,47.5,34000,38760,61.5,0.3,15,90
"K7S",11,185.3303,14265,48,45.6,37200,42200,66.4,0.3,30,130
"K7V",4,665.4234,13940,52,47.7,33200,38840,63.1,0.3,0,40
"K8A",11,617.5258,26390,45.6,44.6,34400,39480,63.1,0.3,30,130
"K8B",2,4.0215,490,42.4,40,47600,59000,75,0.2,0,0
"K8H",3,151.5124,16185,31.2,33.1,48400,48040,80.4,0.2,35,170
"K8N",11,199.5057,30390,48,45.6,35200,41800,63.1,0.3,100,555
"K8P",11,15.0213,23165,44.4,44.6,30400,35120,62,0.3,45,840
"K8R",5,10.6416,2015,43.6,42.8,38400,40440,66.4,0.2,0,10
"K8V",7,154.0598,28935,43.6,43.3,34000,38440,66.8,0.2,80,120
"K9A",4,179.6388,26755,53.2,48.9,36000,43280,61.2,0.3,65,255
"K9H",11,16.6607,29705,42,43.9,30000,36080,60.8,0.3,115,935
"K9J",11,264.2858,44545,44,44.1,32400,38640,64,0.3,105,960
"K9K",0,10.1592,13360,47.2,45.7,38000,45080,66.4,0.3,40,380
"K9L",5,32.935,7810,43.6,43.4,37200,42400,63.6,0.3,0,80
"K9V",4,253.2121,29370,49.6,47,32400,38160,60.9,0.3,80,215
"L0A",5,663.7273,15325,44,42.4,40800,47960,73.2,0.3,20,65
"L0B",5,496.0309,15500,46.4,43.8,40400,48880,71.6,0.3,0,75
"L0C",5,342.4574,9485,44.8,42.8,40400,48680,74.2,0.3,0,30
"L0E",5,434.5302,21895,46.8,44.2,35600,41720,72.8,0.3,20,125
"L0G",2,623.2527,44945,41.6,40.9,41200,49760,73.8,0.3,100,440
"L0H",0,38.9191,1220,49.2,45.3,36400,54200,65.2,0.4,0,30
"L0J",13,37.0166,4945,46,42.8,47200,89300,64,0.4,25,25
"L0K",4,1721.4541,38385,50.8,46.5,36000,41960,65.4,0.3,10,75
"L0L",5,1058.0793,42020,46.8,43.8,38800,45400,72.4,0.3,100,315
"L0M",7,826.5364,37230,39.6,39.7,38800,41760,75.2,0.2,55,205
"L0N",5,72.7884,2395,48.8,44.1,37200,46520,70.4,0.3,0,0
"L0P",2,235.8533,7775,48,44.3,40800,67300,78,0.3,30,155
"L0R",2,984.5589,83600,40.8,40.5,40400,46640,72.6,0.3,175,1165
"L0S",4,623.7178,60410,53.2,48.3,38000,46400,60.6,0.3,245,980
"L1A",4,200.3166,15845,51.2,47.6,37200,44040,62.2,0.3,20,50
"L1B",5,73.514,13205,46,44.4,40400,47040,69.4,0.3,30,115
"L1C",2,185.8759,50215,37.2,38,41200,45720,77.8,0.2,95,600
"L1E",2,25.9671,28325,39.2,38.8,43600,47880,77.6,0.2,90,360
"L1G",11,19.8828,43495,43.2,43.8,33600,38080,64.6,0.3,255,1590
"L1H",11,57.1599,32300,41.2,42,32000,36240,69.8,0.3,120,785
"L1J",11,23.2312,43110,40.4,41.3,33200,37280,69.4,0.3,140,1015
"L1K",2,14.5586,43570,37.2,37.3,38400,44320,77.4,0.2,255,1065
"L1L",3,30.8847,12975,31.6,32.1,34000,41000,80,0.3,170,1065
"L1M",2,19.11,22540,38,35.9,50000,55900,84.2,0.2,40,440
"L1N",2,35.5046,49650,43.6,43.1,39200,45480,72.2,0.3,245,1355
"L1P",2,26.5078,22925,36.4,35.9,41200,48000,81.2,0.3,110,810
"L1R",2,21.735,42220,39.2,39,41600,49120,79.8,0.3,215,1400
"L1S",2,20.2473,42045,42,42,37200,42960,72.2,0.2,165,1440
"L1T",2,23.1674,52630,37.6,38.3,35200,42560,81,0.2,305,1770
"L1V",2,17.7631,52790,42,41.7,39200,46200,76,0.3,225,1280
"L1W",2,16.757,18435,42.8,42.8,40000,47080,74.8,0.3,60,495
"L1X",2,38.4469,24640,36,37.2,38000,46480,81.2,0.3,140,900
"L1Y",2,119.2188,1975,47.6,43.8,43200,53000,73.8,0.3,0,0
"L1Z",2,23.2281,31990,35.2,34.6,38400,43720,84,0.2,200,1250
"L2A",11,42.5988,17295,49.2,45.9,32000,37080,62.9,0.3,30,315
"L2E",11,12.7042,18590,46.4,45.4,28400,32840,64.6,0.2,140,850
"L2G",11,65.9841,30345,44.8,44.1,30000,32800,65.4,0.3,250,1695
"L2H",11,50.4623,29820,42,41,33200,39120,71.4,0.3,225,1305
"L2J",11,21.3045,14910,50,46.9,34400,40040,61.9,0.3,25,205
"L2M",11,15.7486,33705,46,44.9,32400,37160,64.6,0.3,145,940
"L2N",11,12.8871,30715,52,49,35200,42000,61.4,0.3,95,735
"L2P",11,8.7476,15130,40,41.4,32400,35120,67.6,0.2,65,450
"L2R",11,62.1652,25560,40.4,41.8,30000,36600,67.6,0.3,165,1330
"L2S",11,10.7378,19400,42,42,33200,39760,69.4,0.3,60,580
"L2T",6,10.8682,11400,42,43.8,31200,40360,59.9,0.3,170,870
"L2V",7,23.5948,19795,37.6,39.8,32800,36960,70,0.3,145,825
"L2W",2,0.918,1960,42,40.4,34400,53150,72,0.3,0,30
"L3B",11,124.5739,25870,43.2,43,30800,34880,63.9,0.3,115,560
"L3C",11,23.4021,33465,45.6,44.4,34000,38160,65,0.3,140,810
"L3K",4,122.9781,19460,50.8,47.3,32800,37480,64.6,0.3,45,140
"L3L",14,6.4533,880,51.6,49.4,40800,44100,69,0.4,0,10
"L3M",2,68.7098,28430,44.8,43.5,42000,48320,72.6,0.3,105,460
"L3P",0,43.7598,37335,47.2,44.5,35200,45560,71.6,0.3,340,1415
"L3R",0,19.4291,62060,46.4,44.8,28600,40040,69.4,0.3,910,3465
"L3S",9,15.3115,55400,39.6,40.7,26400,33800,74.4,0.3,550,2895
"L3T",0,24.2116,50405,47.2,45.5,34400,47320,67.4,0.4,815,4075
"L3V",4,320.9005,48650,47.6,45.6,34000,39440,64.4,0.3,220,465
"L3X",2,18.6141,45285,39.2,37.8,37200,45360,83.6,0.3,325,1675
"L3Y",11,48.1146,43555,45.6,44.4,36000,42720,73.2,0.3,255,1400
"L3Z",2,157.2,41075,37.2,37.4,36800,41960,79.8,0.2,140,1115
"L4A",2,228.6984,50390,41.6,40.9,40800,52000,72.2,0.3,295,1165
"L4B",0,15.4284,36080,45.6,44,31400,44840,74.2,0.4,655,2650
"L4C",0,23.7011,74640,46,44.5,30800,42080,71.6,0.3,995,6525
"L4E",2,32.917,54605,40.4,38.4,35200,46600,82.2,0.3,780,3355
"L4G",2,50.0005,62060,42,40.9,39200,53600,74.6,0.3,500,2675
"L4H",2,76.334,77355,37.6,36.8,38800,47480,83.4,0.3,310,2195
"L4J",0,22.3937,75120,45.6,43.6,36800,49320,73.4,0.3,555,3435
"L4K",12,32.8087,20170,37.6,40.4,33200,39640,79.4,0.3,335,1790
"L4L",11,36.3704,55430,48,46.1,36800,48040,71.4,0.3,320,1605
"L4M",19,77.8005,46905,38,40.2,33600,40120,72.4,0.3,345,2505
"L4N",19,55.6162,100835,39.6,40.3,35600,41880,75.8,0.3,230,2600
"L4P",7,67.6291,29860,40.4,40.3,36800,41240,78.6,0.2,80,405
"L4R",4,107.8584,19245,50.4,47.2,31600,37400,61.6,0.3,25,210
"L4S",2,28.7441,36690,43.2,41.2,30600,42400,80.4,0.3,500,2735
"L4T",9,33.7566,38180,34.4,38.2,25800,29400,73.6,0.2,960,6160
"L4V",,2.4291,,,,,,,,,
"L4W",11,19.4499,19745,49.2,46.9,37200,43520,70.6,0.3,90,600
"L4X",9,6.3661,18720,41.2,41,30800,36960,74.6,0.3,195,1275
"L4Y",0,8.1692,23490,45.2,44.1,34400,41400,72,0.3,225,1060
"L4Z",0,9.95,37215,39.6,41,33600,39160,78,0.3,805,3725
"L5A",9,8.242,47405,41.2,41.8,31200,35920,74,0.3,680,4625
"L5B",12,10.399,67130,37.2,40,30600,36680,77.6,0.3,2790,11865
"L5C",0,12.3848,29285,42.8,42.4,32400,40560,72.4,0.3,235,1940
"L5E",0,8.0467,12970,45.2,44,39600,48280,75.4,0.3,80,355
"L5G",0,7.2303,20715,45.2,43.7,40800,60750,74.8,0.4,145,1045
"L5H",13,11.3873,17410,46.4,43.5,45600,69500,71.4,0.4,160,525
"L5J",0,17.8669,28205,43.2,43,39600,53650,74,0.3,235,1065
"L5K",0,6.0875,13365,41.6,41.9,36000,46160,71.8,0.3,140,750
"L5L",0,18.1864,43585,44,43.2,36400,44800,71.6,0.3,470,2050
"L5M",2,24.9887,106470,39.6,39.6,33200,42280,79.6,0.3,2290,11695
