"geo_name","cluster","LANDAREA","Total population","Median age","Average age","Median after-tax income","Average after-tax income","Employment income (%)","Gini index","External migrants 1 year ago","External migrants 5 years ago"
"M5P",13,3.3673,19790,43.2,44.4,47600,82500,62.4,0.5,185,1575
"M5R",13,2.8276,26200,42,45.5,44000,83500,66,0.5,435,1965
"M5S",10,1.8915,17075,33.2,40,33600,51850,66,0.5,680,2685
"M5T",10,1.4718,17900,36,41.7,25800,42520,78.4,0.4,380,1870
"M5V",1,3.8341,59910,32,34.6,48400,56750,90,0.4,2510,9135
"M6A",9,5.5599,22380,37.6,39.7,31000,41360,71.6,0.3,230,1955
"M6B",0,5.3266,28535,42,42.4,33600,46440,72.4,0.4,325,2120
"M6C",17,2.9792,23995,40.4,41.3,39200,57700,76.2,0.4,160,1250
"M6E",9,5.0027,37685,40.8,41.9,31800,38080,78.4,0.3,365,2580
"M6G",17,3.8615,30600,39.6,43,37200,54050,79.8,0.4,270,1550
"M6H",17,4.6523,43730,38.4,41,34800,42840,80.6,0.3,410,2535
"M6J",17,2.9426,32115,36.8,40.3,39200,51750,82.6,0.4,415,2090
"M6K",1,2.7728,42110,35.6,39.6,35600,43240,86,0.3,800,3725
"M6L",9,4.7863,20155,42.4,42.6,29200,35600,69,0.3,90,975
"M6M",9,8.096,42150,40,40.6,29400,33800,74.4,0.3,330,2465
"M6N",9,8.3243,40250,40.8,41.4,30200,36080,75.6,0.3,265,2130
"M6P",17,4.1581,39870,39.2,40.8,41200,51080,81.2,0.3,350,2045
"M6R",17,2.3243,19350,39.2,39.9,46000,61800,83.4,0.4,125,750
"M6S",17,8.01,34025,41.6,41.2,48000,66300,78.4,0.4,225,1405
"M8V",17,7.0416,44145,40,42.3,38800,49080,77.4,0.3,635,3710
"M8W",17,6.9498,22380,41.6,42,39600,47560,80.6,0.3,120,1200
"M8X",13,2.8732,10620,50.8,47.8,55600,92600,68,0.4,85,350
"M8Y",17,4.8899,21990,40.8,41.4,41200,53650,80.8,0.4,215,1115
"M8Z",17,8.7727,19315,40.4,41.3,44400,55250,82,0.3,100,850
"M9A",0,10.0741,36640,43.2,43.8,39600,62300,67.6,0.4,535,3025
"M9B",0,13.3122,33235,42,42,40800,52300,76.8,0.3,385,1835
"M9C",0,14.1886,38725,45.6,44.9,37600,45040,72.8,0.3,290,1855
"M9L",9,7.9409,11740,41.6,42.3,26800,31680,69.8,0.3,115,915
"M9M",19,6.3964,24245,38,39.2,29000,32800,74.8,0.3,190,1905
"M9N",9,5.1476,26055,39.6,40.2,30400,35600,75,0.3,220,1725
"M9P",0,6.7153,20645,45.2,44.6,35600,65700,72.2,0.3,130,900
"M9R",9,6.5681,33785,40.8,41.7,31400,37400,68.6,0.3,385,2180
"M9V",9,15.5433,53880,37.2,39.2,26200,30000,71.6,0.2,660,6075
"M9W",9,27.3161,40980,38.8,40.7,29800,33720,74.2,0.3,365,3250
"N0A",5,1035.2298,31955,50.8,46.4,36800,41760,64.2,0.3,45,90
"N0B",2,2106.5526,86920,42.8,41.3,42400,50680,72.8,0.3,245,730
"N0C",7,1296.4427,17540,43.6,42.2,34000,39800,66.6,0.3,25,165
"N0E",5,1365.0123,36560,46,43.6,36400,42160,67.2,0.3,50,270
"N0G",5,5612.6402,86935,40.8,41.1,34800,40120,70.2,0.3,120,630
"N0H",4,3239.6509,53675,52.8,47.6,36400,47160,61.3,0.3,230,485
"N0J",5,1494.4442,33460,38.4,38.8,37200,41480,72,0.3,115,255
"N0K",5,1499.13,24820,38.4,39.7,37200,41160,70.8,0.3,60,240
"N0L",5,2069.842,49815,44,42.3,39600,44600,71.8,0.3,140,345
"N0M",5,3593.2568,69180,46,43.9,38400,43600,67.4,0.3,105,360
"N0N",5,1576.4634,42295,45.2,43.5,40000,47400,68,0.3,160,420
"N0P",5,2849.2033,53140,46,43.7,34800,42720,62,0.3,190,530
"N0R",2,784.0921,50205,43.2,41.6,41200,46480,73.6,0.3,40,460
"N1A",11,225.1076,12615,47.2,44.5,33200,38120,65,0.3,15,30
"N1C",2,4.7041,3675,43.6,40.5,48000,58500,77.2,0.3,0,45
"N1E",19,39.2619,44800,38.4,39.7,40000,44160,76.6,0.3,150,1235
"N1G",2,22.8294,29685,37.6,40.7,36800,44600,69,0.3,305,1870
"N1H",11,131.6029,42180,41.2,42.3,36000,42720,73,0.3,300,2210
"N1K",19,4.1746,10905,38.4,39,38000,41200,80.6,0.2,95,570
"N1L",2,12.271,17475,34.8,36.8,40000,48600,79,0.3,175,1200
"N1M",7,88.7683,18500,42.4,42.3,40000,44080,72.6,0.2,30,150
"N1P",2,2.2739,7990,36,35.7,39200,43720,83.6,0.2,55,165
"N1R",11,182.1589,42930,40.8,41.9,33200,37960,71.2,0.3,175,1560
"N1S",5,9.8775,20170,42.8,42.5,38400,44720,74,0.3,40,375
"N1T",2,15.225,18515,37.2,37.5,37200,44360,80.8,0.3,115,875
"N2A",19,13.6052,32450,39.2,39.9,37200,43160,75,0.3,235,1800
"N2B",11,7.6676,16940,42.8,42.8,36000,40320,74.2,0.3,60,620
"N2C",12,13.2857,17680,36.8,40.3,30000,34480,70.8,0.3,240,2585
"N2E",19,12.6935,40430,36.4,37.7,35600,37840,79,0.2,205,2920
"N2G",12,5.679,14580,38,42.2,31800,38160,73.6,0.3,140,1295
"N2H",11,11.3629,22455,38.4,41.1,35600,41600,75.2,0.3,185,1300
"N2J",6,38.2888,20895,36.8,41.7,32800,42040,70.6,0.3,430,2455
"N2K",2,20.4743,29380,40.4,39.8,43200,53000,78,0.3,375,1180
"N2L",10,15.7746,37955,29.8,37.4,28400,38480,69.4,0.4,1395,7495
"N2M",12,10.3077,36490,36.4,39.2,33600,38720,72.4,0.3,435,3565
"N2N",19,10.2024,26595,39.2,39.9,38000,42880,76.2,0.2,150,1315
"N2P",2,19.3575,25040,36,37,38400,48240,76.4,0.3,295,2380
"N2R",3,26.9683,18445,32.8,32.3,40000,44920,84.4,0.2,185,1670
"N2T",2,7.1546,20630,41.2,40.2,42000,52750,76.2,0.3,160,895
"N2V",2,19.0718,19430,38,37.9,40000,50760,82,0.3,275,1600
"N2Z",0,283.6428,12340,46.8,44.9,42000,51500,65,0.3,45,150
"N3A",2,196.8159,17045,41.6,41.5,43600,48840,71,0.2,20,115
"N3B",2,56.0565,13190,38.4,39.5,42000,46560,75,0.3,35,175
"N3C",2,56.6023,27520,38.8,38.7,41200,46200,80,0.2,85,680
"N3E",3,14.2872,2805,30.8,30.7,38400,45600,80.6,0.3,75,330
"N3H",11,26.3894,24305,40.8,41.9,34400,38680,73.8,0.3,285,1440
"N3L",7,136.6595,17680,42,42.1,39200,45160,74.6,0.3,40,185
"N3P",11,7.4808,8540,39.6,40.3,35600,38320,73.6,0.2,35,115
"N3R",11,16.4913,35860,45.6,44.5,35600,39840,67.2,0.2,45,420
"N3S",11,21.1132,27525,39.2,40.3,31400,34880,72,0.2,55,635
"N3T",19,245.8371,37405,38.8,39.6,34800,41160,73.4,0.3,255,1455
"N3V",7,0.6066,1565,44.8,43.2,39600,41900,70.8,0.2,0,0
"N3W",2,191.854,15805,38.4,38.9,41600,45360,76,0.2,20,215
"N3Y",4,392.1731,23400,49.2,46.1,34400,39840,61.8,0.3,55,280
"N4B",5,141.7672,8220,44.4,43.6,34400,38000,65.4,0.3,0,35
"N4G",4,130.0817,21520,47.6,45.8,34400,38920,61.5,0.3,35,160
"N4K",4,356.4141,28975,49.2,46.4,32400,38920,62.8,0.3,50,295
"N4L",4,288.4458,8335,54.4,49.1,33200,41080,59.6,0.3,0,75
"N4N",4,141.6356,10340,49.6,46.6,33200,38400,63.1,0.3,0,55
"N4S",7,294.6386,33055,42.8,42.6,36000,39200,70.8,0.3,60,365
"N4T",7,28.6033,15160,38.4,39.1,38400,43760,70.8,0.3,70,420
"N4V",0,2.048,3480,41.2,43.7,37200,41040,67.4,0.2,0,55
"N4W",5,271.1048,13310,38,39.8,36000,39080,68.8,0.3,40,325
"N4X",11,293.345,9950,47.6,45,38400,43120,69.2,0.3,15,100
"N4Z",7,5.8774,2360,40.8,40.7,38800,44760,72.6,0.2,10,20
"N5A",11,161.2882,32900,46.4,45.1,36400,41560,66.6,0.3,140,640
"N5C",7,126.2413,15720,41.2,41,38000,41840,73.8,0.3,0,80
"N5H",5,283.723,15625,37.6,39.1,33200,37760,69.2,0.3,80,270
"N5L",4,66.2917,3710,57.6,51.5,39200,47040,56.9,0.3,20,25
"N5P",7,293.7813,21085,42.8,42,35200,39320,70.6,0.3,35,165
"N5R",11,29.3801,30680,44.8,43.6,36000,39320,67.2,0.2,90,305
"N5V",19,38.3675,32960,36.4,38.8,31200,33920,71.8,0.2,345,2385
"N5W",11,17.5688,24740,40.4,41.9,31200,34320,70.8,0.3,200,1255
"N5X",2,11.7911,36965,40.4,40.7,40000,46440,70.2,0.3,415,2915
"N5Y",12,11.9884,35930,35.6,38.4,28600,33560,68.6,0.3,545,4405
"N5Z",11,10.2388,24065,40,40.6,31000,33400,70,0.3,120,940
"N6A",10,6.0614,13810,34,41.4,30600,43160,66.2,0.4,330,1410
"N6B",12,2.9296,11100,38,42.2,26800,32600,70.6,0.3,195,845
"N6C",11,13.4371,30625,41.6,42.4,36800,42520,70.4,0.3,235,1315
"N6E",19,15.4174,28140,38,39.2,31000,33520,68.8,0.3,265,1830
"N6G",2,47.7933,50940,36.4,38.4,36000,44800,68.6,0.3,790,4625
"N6H",6,33.763,44215,38.8,41.9,32400,40240,66.8,0.3,795,5350
"N6J",11,9.4009,27500,43.6,44.2,32800,37640,64.8,0.3,135,1315
"N6K",2,34.3123,37595,44.4,43.7,41600,50840,64,0.3,190,1405
"N6L",3,31.5686,5170,34.4,35.6,34800,39480,75.6,0.3,75,455
"N6M",3,41.6825,8545,35.2,35.6,38000,40680,79.2,0.2,45,505
"N6N",5,67.5277,725,49.2,45.9,39200,44000,61.2,0.3,0,0
"N6P",2,164.9351,10945,40.8,40.3,44800,53300,73,0.3,45,180
"N7A",4,253.3853,12495,55.2,49.3,34800,41360,60.1,0.3,20,110
"N7G",11,220.6681,19925,44.4,43.6,36000,40760,69.6,0.2,15,190
"N7L",11,25.7538,25130,47.2,45.4,32400,37320,63.3,0.3,30,335
"N7M",11,325.6238,25580,44,43.2,32800,38760,64.6,0.3,70,355
"N7S",5,16.0133,28410,42.4,42.7,38400,46320,69.4,0.3,175,950
"N7T",11,101.9124,26035,44.4,44.2,29600,36160,61.6,0.3,95,725
"N7V",11,7.5841,11615,51.6,48.1,40000,47360,59,0.3,50,145
"N7W",4,36.1951,2580,66.5,59.1,38800,46320,50.2,0.3,0,0
"N7X",13,7.1848,1125,54.8,49,55200,68800,59.6,0.3,0,0
"N8A",11,358.8804,12625,48,45,30400,34880,63.9,0.3,25,60
"N8H",11,154.9092,27530,41.6,42.1,32400,38360,64.4,0.3,440,1715
"N8M",5,120.0186,11820,44.8,42.9,38000,42120,72.2,0.3,0,10
"N8N",5,49.2695,24530,47.6,44.8,42400,50720,67.2,0.3,85,310
"N8P",2,5.7709,14605,46,44.3,39200,45760,67.8,0.3,80,440
"N8R",11,5.8025,12735,40.8,40.7,34000,37360,68.8,0.2,20,600
"N8S",11,9.0567,22355,46.8,45.4,36800,40760,64.2,0.3,100,565
"N8T",11,11.3662,17935,42.4,42.1,30200,33520,62.3,0.3,55,995
"N8W",11,16.6972,24055,41.6,41.4,34800,37880,71,0.2,70,640
"N8X",11,8.2375,16460,39.2,40.5,28800,32600,67.6,0.3,135,1165
"N8Y",11,7.9544,19255,42.8,43,32400,38040,63.4,0.3,100,740
"N9A",9,6.0556,26105,38.8,41.2,23000,28040,61.2,0.3,405,3105
"N9B",9,7.2011,19615,30.2,36.1,23200,29560,66.8,0.3,755,3520
"N9C",9,8.7536,12540,32.8,37.4,25400,29520,65.2,0.3,250,1720
"N9E",0,15.1767,21465,42.4,41.7,36800,45880,68,0.3,235,1175
"N9G",0,9.9407,20710,40.8,40.6,35200,44720,72.6,0.3,320,1310
"N9H",0,24.3842,13175,46,44.1,41600,52350,70.4,0.3,85,455
"N9J",2,49.31,20090,43.6,41.2,43600,53150,76,0.3,40,340
"N9K",2,8.5232,2755,42.8,40,41600,51800,79.6,0.3,0,20
"N9V",5,137.9016,21690,45.6,43.5,40000,47560,67.6,0.3,25,155
"N9Y",5,76.6327,15835,47.2,45.1,38000,43440,65,0.3,0,280
"P0A",4,4150.6682,17820,56.8,50.3,31200,36720,55.8,0.3,35,75
"P0B",4,869.5903,9590,53.2,47.7,37600,46080,61.8,0.3,50,50
"P0C",4,873.0947,4825,56.8,49.9,36000,50080,51.6,0.4,0,50
"P0E",4,367.6774,3610,54.4,48.7,35200,40480,64.8,0.3,0,10
"P0G",4,788.8151,3555,58,51,34000,42920,54.2,0.3,25,20
"P0H",5,18206.2677,31905,50.8,46.4,34800,40640,65.4,0.3,45,55
"P0J",5,8531.4233,20180,47.6,44.9,33200,39360,67.4,0.3,50,50
"P0K",5,14618.404,11455,49.2,45.3,35600,41920,67.6,0.3,10,20
"P0L",5,126824.8916,22855,42,41.2,34800,39640,70.4,0.3,25,210
"P0M",5,63926.0532,49725,46.8,44.3,39200,43520,70.6,0.3,25,270
"P0N",2,1654.6428,9435,40,40.3,39600,44160,74.8,0.3,0,40
"P0P",5,4663.9828,20285,50.8,46,30200,35520,59.8,0.3,35,75
"P0R",4,9014.5396,12975,54.8,48.4,32000,37520,57.2,0.3,10,50
"P0S",5,13260.6608,10170,50,45.2,37600,41920,68.2,0.3,15,40
"P0T",5,94591.9474,32000,45.6,43,35200,40680,66.8,0.3,30,260
"P0V",15,374847.0227,22940,30.8,33.7,30200,35880,69.6,0.4,30,160
"P0W",5,14646.5332,6455,42.8,41.3,34400,39440,69,0.3,10,20
"P0X",0,18785.2943,8410,43.6,42.3,35600,40160,64.8,0.4,0,50
"P0Y",,78.8305,95,66.5,65.5,,,,,0,0
"P1A",11,18.5185,16960,44.8,43.9,34800,39600,62.6,0.3,10,130
"P1B",11,547.3026,33115,44.4,44.1,32000,38200,65.2,0.3,160,565
"P1C",2,5.9895,3370,42.8,40.9,53200,61000,71.2,0.3,0,50
"P1H",4,815.5869,18100,51.2,47.4,34000,42560,61.4,0.3,40,200
"P1L",4,680.4089,17985,51.2,47.5,36000,42560,65,0.3,30,160
"P1P",4,379.3228,11085,54,49.5,32400,39760,56.4,0.3,0,65
"P2A",4,903.3394,14695,54,49.1,34400,41440,59.8,0.3,35,160
"P2B",4,65.588,9755,50.4,47,32400,38120,59.6,0.3,10,35
"P2N",11,21.9581,6940,45.2,44.4,32400,39720,69.6,0.3,10,125
"P3A",11,46.7649,24325,45.2,44.6,38000,42200,65.6,0.3,115,805
"P3B",11,21.2363,16435,40.4,41.2,34000,39440,68.8,0.3,85,955
"P3C",11,10.8105,17600,38,40.7,28400,32880,67.4,0.3,190,1340
"P3E",0,1096.0516,29130,46,45.1,41200,50200,64.6,0.3,140,1015
"P3G",2,266.1714,4165,46.4,43.6,48400,59150,69.6,0.3,0,35
"P3L",2,128.8018,7995,41.2,40.5,42800,46400,75.4,0.2,0,55
"P3N",2,115.8818,7980,43.2,42.5,42400,46480,74.8,0.2,0,40
"P3P",2,492.1684,15410,42,40.9,43200,47080,76.6,0.2,0,45
"P3Y",2,113.4003,7760,44,43,46000,50440,72.8,0.2,0,0
"P4N",11,292.012,24095,42.8,42.7,35200,41760,72,0.3,60,655
"P4P",2,80.4413,3230,41.2,39.5,43200,48440,74.6,0.3,0,15
"P4R",2,928.2296,4795,43.6,41.8,44000,49640,77,0.3,0,10
"P5A",4,696.0556,11370,60.4,53.4,26800,32680,46.8,0.3,10,10
"P5E",11,81.003,5430,49.2,46.2,36800,41120,62.8,0.3,0,35
"P5N",11,83.9821,8260,48.4,45.4,35200,40120,64.6,0.3,20,75
"P6A",11,537.2735,33800,47.2,45.1,36400,42440,63.3,0.3,130,590
"P6B",11,20.7203,22755,48,46.4,34000,39560,62.3,0.3,240,755
"P6C",11,32.2818,18765,46.4,44.5,34000,37920,66.2,0.2,10,90
"P7A",11,4089.2115,28585,47.2,45.5,37600,42200,65.8,0.3,80,415
"P7B",6,13.7363,22675,40.8,42.8,33600,40080,65,0.3,225,1375
"P7C",11,40.6583,21695,42.4,43.1,34800,38640,65.2,0.3,140,805
"P7E",11,12.9523,20895,44.4,44.1,35600,38520,65.6,0.3,100,510
"P7G",2,4037.979,13240,44.8,42.5,45200,50360,69.8,0.2,15,125
"P7J",2,173.3003,4860,44.8,42,43600,47520,69.2,0.3,0,10
"P7K",2,108.4952,6800,49.2,45.2,45200,50840,67.6,0.3,20,30
"P7L",5,873.7825,2190,48.8,44.8,42000,42680,69.8,0.2,0,0
"P8N",11,563.9007,9620,48,45.2,38800,42840,67.6,0.3,15,120
"P8T",7,207.6624,5540,37.2,38.7,45600,47080,76,0.3,15,125
"P9A",11,378.0704,10080,44.8,43.3,40000,43600,68.4,0.3,25,90
"P9N",11,272.5851,14085,43.6,43.1,39600,43320,69.4,0.3,30,135
"R0A",5,6746.509,43240,33.6,35.3,33200,36960,76,0.3,75,720
"R0B",15,365302.9907,42205,24.8,29.3,21200,28640,68.6,0.3,10,35
"R0C",5,39343.0403,56940,42.4,41.4,31200,36320,67.6,0.3,95,395
"R0E",5,13766.1928,39575,47.6,44.3,34000,38760,65.2,0.3,25,125
"R0G",5,9685.8031,43710,38,38.9,34400,39120,71.8,0.3,145,850
"R0H",5,7211.6618,17905,33.2,35.5,28800,33800,69,0.3,0,90
"R0J",5,13598.1612,29050,42.8,42.5,31400,35000,67.2,0.3,270,1615
"R0K",5,12815.9876,28080,40,41,35600,38440,70,0.3,30,265
"R0L",5,52618.0229,26270,42.4,41.7,28000,32640,63.5,0.3,40,265
"R0M",5,11233.3874,19450,41.2,41.7,33200,37280,68.6,0.3,65,325
"R1A",5,433.1044,21475,45.2,43.5,36000,42040,72,0.3,45,260
"R1B",4,1.256,280,66.5,60.6,37600,41200,50,0.2,0,0
"R1C",16,40.376,3940,46,42.4,40000,43280,74.6,0.3,0,0
"R1N",5,788.6573,16640,40,40.9,33200,37160,69,0.3,50,535
"R2C",19,24.4137,32815,39.2,39.6,36800,38880,77.2,0.2,130,710
"R2E",2,41.7904,9510,46.8,43.5,46400,61050,70.8,0.3,15,55
"R2G",11,16.1239,33875,45.6,45.1,35200,39840,68,0.3,145,1140
"R2H",6,5.7802,16135,42,43.9,34000,38960,71.4,0.3,125,790
"R2J",11,29.1737,26960,41.2,41.4,37200,41040,71.2,0.3,165,1215
"R2K",19,11.4261,34345,38.4,39.8,32800,35320,74,0.2,380,2640
"R2L",19,5.0897,15255,35.6,36.8,29400,31400,75.6,0.2,65,715
"R2M",19,14.5297,38980,40.4,41.8,33600,38480,70,0.3,430,3160
"R2N",2,38.4087,31385,44.4,43.1,39600,44720,73.2,0.3,240,1360
"R2P",19,16.9852,35215,35.2,37.7,29000,32080,74.8,0.2,385,5225
"R2R",19,17.329,25595,35.6,36.8,31400,33440,79.8,0.2,200,2460
"R2V",19,19.3367,38200,40,40.7,34400,37240,75.6,0.2,245,2155
"R2W",19,7.2207,29480,36,37.2,25400,28040,69.8,0.3,85,1095
"R2X",19,9.227,19675,38,38.3,30000,30960,78.2,0.2,45,1055
"R2Y",11,24.3418,19850,42,42.6,36400,39240,71.8,0.2,30,490
"R3A",9,1.2667,5155,30.6,32.9,20600,23380,63.8,0.3,125,870
"R3B",10,2.3016,12545,37.2,39.5,22400,30680,73.2,0.3,240,1665
"R3C",10,143.5857,16800,34.8,38.9,25000,30040,73.2,0.3,355,2460
"R3E",19,6.8929,19010,37.6,38.7,27600,28920,75.2,0.2,110,1015
"R3G",19,6.8919,25200,36.8,38.1,31000,35240,78,0.3,90,1195
"R3H",,11.4989,115,39.2,37.2,,,,,0,0
"R3J",6,13.1924,28340,41.6,42.8,36000,40520,72.8,0.2,150,1095
"R3K",11,5.7966,12430,48.8,46.4,38400,44280,68.4,0.3,10,260
"R3L",12,5.113,20725,36.4,41,32800,37720,76.6,0.3,210,1430
"R3M",19,7.2201,22200,41.2,42.6,36800,46840,71.2,0.3,215,1445
"R3N",2,8.4898,16590,41.6,41.8,41600,51600,69.8,0.3,215,825
"R3P",0,18.7201,20615,49.6,48,42400,64500,62.5,0.4,195,1405
"R3R",2,15.8162,25745,45.2,43.9,41600,47520,70.4,0.3,120,800
"R3S",13,26.3222,605,41.2,38.4,41600,154500,54,0.5,0,0
"R3T",9,24.4294,50190,33.6,38.3,27800,35360,71.2,0.3,1310,10590
"R3V",11,27.5055,6415,40.4,41.5,35600,38440,70.8,0.3,30,350
"R3W",19,6.5506,16170,36.8,37.7,36800,40440,79.4,0.2,190,1230
"R3X",3,17.809,22305,38,36.7,44400,50360,79.8,0.3,170,1205
"R3Y",3,17.6997,33120,33.6,34.3,35200,43960,80.4,0.3,1020,4870
"R4A",2,83.7434,5470,40,39.9,42400,47720,78.8,0.2,0,90
"R4G",2,38.8827,1655,40.4,37.8,52000,56450,81.2,0.2,15,50
"R4H",2,106.3857,3280,38.8,39.9,46400,58800,73.2,0.3,0,20
"R4J",2,1.1417,1050,43.6,41.2,47200,56400,80,0.3,0,0
"R4K",2,284.8265,960,34,35.7,42400,55800,77,0.3,0,0
"R4L",2,205.1433,1350,40.8,39,43600,51600,76,0.2,0,10
"R5A",2,131.627,3850,38.8,38.3,43600,48320,77,0.2,0,40
"R5G",5,214.8837,25090,33.6,36.3,30400,35320,72.8,0.3,205,1045
"R5H",5,163.2568,5030,38,40.2,34000,36880,70.6,0.3,0,0
"R5J",5,220.0189,1430,36.4,36.9,36400,36600,78.8,0.3,0,20
"R5K",2,180.5314,6070,36,36.1,42000,45640,78.4,0.2,25,10
"R5L",5,374.1252,2250,42.8,41.1,40000,42200,76.2,0.2,0,0
"R5M",5,194.7571,2295,43.2,40.7,40800,44400,72,0.2,0,0
"R5N",2,60.9597,5595,40.4,38.9,46400,50200,80.6,0.2,0,35
"R5P",5,206.8032,735,44,42.3,34800,39600,67,0.2,0,0
"R5R",5,64.1613,1310,46.8,43.1,39200,48500,66,0.3,0,30
"R5T",2,89.4642,865,43.6,41.1,42000,56400,79.5,0.3,0,0
"R6M",5,410.7361,11445,37.6,39.2,31800,35920,71.6,0.3,85,840
"R6W",5,461.4563,21550,30.6,34.1,29200,33120,71.2,0.2,185,1140
"R7A",19,632.8509,30025,36.4,38.3,33200,36760,74,0.3,295,1670
"R7B",19,15.2164,22320,38,39.3,36400,41160,72.8,0.3,260,1305
"R7C",16,9.644,2870,47.6,47.3,35600,40880,58.4,0.3,30,70
"R7N",5,1116.0425,9960,42.4,42.6,32000,36440,67.2,0.3,0,120
"R8A",2,13.1033,5295,44.4,43,38800,45240,73,0.3,55,180
"R8N",3,16.4537,13290,31.4,33.1,39200,45960,82.2,0.3,45,605
"R9A",2,780.5529,6785,36.4,38.2,39600,44240,74,0.3,40,180
"S0A",5,33998.1118,52750,45.6,44,32000,38400,66.4,0.3,105,710
"S0C",5,19918.7979,21740,41.6,41.4,38800,44040,67.4,0.3,40,295
"S0E",5,27324.2923,32380,44,42.8,33200,38000,64.4,0.3,65,365
"S0G",5,35863.9704,65895,42.8,41.8,37600,43000,69.2,0.3,85,775
"S0H",5,30936.1752,21970,46.4,44.1,35200,38600,62.2,0.3,90,330
"S0J",5,205672.1322,50645,36.8,38.1,28000,34680,63.1,0.3,70,360
"S0K",5,31703.027,90185,38.8,39.2,39200,43760,72.4,0.3,170,1205
"S0L",5,29281.5629,30490,42.4,42.2,38800,42880,65,0.3,80,595
"S0M",5,107616.9007,48250,36.4,37.9,30800,36920,63.7,0.3,50,220
"S0N",5,36943.2487,21370,44,42.6,35200,39280,62.8,0.3,30,315
"S0P",15,49.3742,6465,27,31.7,24000,33160,67,0.3,0,15
"S2V",2,3.635,865,46,43.3,49600,62900,67,0.3,0,0
"S3N",5,1619.7866,18635,42,42.3,37200,41240,70.2,0.3,70,610
"S4A",2,790.3012,11955,39.2,40,43600,50920,75.2,0.3,50,325
"S4H",5,827.5284,11810,39.6,40.8,39600,46560,67,0.3,20,250
"S4K",,136.3243,85,47.6,45.6,,,,,0,0
"S4L",2,221.3167,5645,39.2,37.5,59600,64000,79,0.3,0,20
"S4N",19,24.7118,30980,35.6,37.2,37200,39800,77.6,0.3,325,2025
"S4P",6,545.4625,13505,42.8,45.5,29800,38360,65.4,0.3,165,1050
"S4R",19,32.0099,34395,38.8,39.8,37600,40280,73.4,0.2,245,1420
"S4S",6,18.7799,34565,39.6,42.1,40400,47920,69,0.3,645,3785
"S4T",19,13.6277,31060,37.2,38.2,35200,39280,73.2,0.3,170,840
"S4V",2,25.4196,33780,38.8,39.4,47600,55250,72.2,0.3,305,2070
"S4W",3,16.049,14380,31.8,31.9,40800,46040,80.6,0.3,440,2255
"S4X",3,14.4249,29120,38.4,38.1,47200,50960,78.4,0.2,135,865
"S4Y",3,9.6552,5670,36.4,35.8,53200,56600,81.8,0.2,35,120
"S4Z",12,0.7468,1340,36.4,40.6,42400,47000,74,0.2,0,90
"S6H",5,1659.4595,27555,42.8,42.9,35600,40200,67.6,0.3,105,905
"S6J",5,10.3181,5850,40.8,41.4,41200,50280,69.2,0.3,20,225
"S6K",3,0.4981,1335,36.4,35.6,49200,50500,78,0.2,0,25
"S6V",5,2864.3862,42145,36,38.2,34400,39560,68.6,0.3,115,1265
"S6W",4,1.9487,290,60,53.8,45200,56400,44,0.4,0,0
"S6X",3,2.105,2520,38,36.9,58000,56750,78.4,0.2,0,15
"S7A",,5.1749,180,31.8,28.9,,,,,0,0
"S7B",16,10.2761,500,42,40.6,34400,38000,71,0.2,0,0
"S7C",3,49.6633,1140,36.4,34.9,56400,63200,86,0.2,0,0
"S7H",19,13.7237,36820,38,40.7,35200,41600,69.2,0.3,780,3580
"S7J",6,11.332,30830,42.8,44,38800,46680,66,0.3,165,1110
"S7K",19,900.6487,39075,41.2,42.4,39200,47760,67.8,0.3,250,1525
"S7L",19,27.5596,41125,37.2,38,34400,37520,75.2,0.2,165,1800
"S7M",19,21.935,31870,36.8,38.3,32000,37240,71.6,0.3,190,1420
"S7N",19,15.6758,27385,35.2,38.6,37600,46120,69.8,0.3,220,1490
"S7P",,15.3019,180,44.8,40.4,,,,,0,0
"S7R",3,3.3664,8990,32,30.9,41600,44880,85.2,0.2,60,460
"S7S",0,3.3542,5730,42,41,43200,50320,74.8,0.3,25,325
"S7T",3,113.7418,17470,34.4,35.9,43600,52150,76.2,0.3,365,1640
"S7V",3,41.8237,16575,34,35.2,44800,54000,72.8,0.3,230,1305
"S7W",3,16.812,19200,31.8,32.1,44000,51950,80.8,0.3,210,1675
"S9A",5,826.9994,14925,38.8,40.2,35200,39040,69,0.3,40,540
"S9H",5,1762.9584,18545,42.4,43,38000,43520,71,0.3,90,590
"S9V",3,1187.8661,14460,33.2,33.8,40000,44320,81.2,0.2,55,415
"S9X",5,3886.102,7900,34.4,36.4,36800,41600,76,0.3,35,255
"T0A",5,36758.8253,57940,40.4,40.4,37200,44960,74,0.3,80,485
"T0B",5,30126.9335,63070,43.2,42.1,37200,43920,70.2,0.3,120,495
"T0C",5,18267.1684,62815,42.4,41.4,34000,42160,67.8,0.3,130,415
"T0E",5,31996.4341,40345,45.2,43.1,37200,44920,72.8,0.3,60,395
"T0G",5,61454.256,40680,38,38.2,36400,43120,74.4,0.3,70,460
"T0H",5,222929.3085,81425,34.8,36.3,37200,44640,75,0.3,125,740
"T0J",5,37636.6318,50750,40.4,39.9,36400,43880,71.4,0.3,170,690
"T0K",5,24909.8299,59085,36.8,38.2,33600,40760,67.2,0.3,340,1255
"T0L",5,28134.5502,52040,43.6,42.3,35600,44600,66.2,0.3,95,670
