"geo_name","people per km2","Average age of the population","Median age of the population","0 to 4 years","5 to 9 years","10 to 14 years","15 to 19 years","20 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 to 64 years","65 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 to 89 years","90 to 94 years","95 to 99 years","100 years and over","Single-detached house","Semi-detached house","Row house","Apartment or flat in a duplex","Apartment in a building that has fewer than five storeys","Apartment in a building that has five or more storeys","Other single-attached house","Movable dwelling","Mobility status 1 year ago: Non-movers","Mobility status 1 year ago: Non-migrants","Mobility status 1 year ago: Intraprovincial migrants","Mobility status 1 year ago: Interprovincial migrants","Mobility status 1 year ago: External migrants","Mobility status 5 years ago: Non-movers","Mobility status 5 years ago: Non-migrants","Mobility status 5 years ago: Intraprovincial migrants","Mobility status 5 years ago: Interprovincial migrants","Mobility status 5 years ago: External migrants","Employment income","Without after-tax income","Under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $124,999","$125,000 and over","Median after-tax income in 2019 among recipients ($)","Average after-tax income in 2019 among recipients ($)","Gini index on adjusted household after-tax income"
"A0A",0.0003099958896457139,0.5221932114882508,0.5785123966942148,0.03371911862897841,0.04429111951925217,0.05152459381259737,0.051413309592699755,0.04050745604273314,0.035165813487647454,0.04317827732027599,0.05241486757177832,0.058869352325840195,0.06710438459826397,0.07645225906966392,0.09002893389717338,0.09448030269307812,0.09147562875584242,0.07956821722679724,0.04774093033607835,0.025150233696861785,0.011796127309147563,0.0040062319163142665,0.0008902737591809482,0.00022256843979523704,0.9192405063291139,0.0189873417721519,0.01620253164556962,0.025063291139240506,0.013164556962025316,0.00025316455696202533,0.0012658227848101266,0.0060759493670886075,0.9413087474702047,0.01832696199685181,0.027883966719136496,0.011693276366089498,0.0007870474477175624,0.781340432920477,0.054867461511749045,0.16240305590924875,0.0296330593818729,0.0012732955203148513,0.644,0.031564029889203815,0.08309713991239372,0.1489306879670188,0.23151249677918062,0.17160525637722238,0.1239371296057717,0.07562483895903117,0.045091471270291165,0.032337026539551665,0.019453749033754186,0.010950785879927854,0.014815769131667097,0.011466116980159752,29800,36480,0.3
"A0B",0.0001325445692446291,0.6370757180156659,0.6942148760330579,0.026963961628208452,0.03344568317345087,0.04070521130412238,0.03914959813326419,0.03214933886440238,0.030852994555353903,0.03526056520611875,0.04018667358050298,0.045112781954887216,0.056002074150894476,0.0775213896810993,0.09567021000777806,0.11355976147264714,0.11355976147264714,0.1003370495203526,0.06378014000518538,0.032667876588021776,0.015037593984962405,0.005703914959813326,0.0012963443090484833,0.00025926886180969663,0.9478021978021978,0.008791208791208791,0.01098901098901099,0.007142857142857143,0.015934065934065933,0,0.001098901098901099,0.008241758241758242,0.9318421052631579,0.02236842105263158,0.031578947368421054,0.013947368421052632,0,0.7707997852925389,0.04830917874396135,0.17847557702630165,0.03569511540526033,0.0026838432635534087,0.603,0.023045507584597433,0.08022170361726955,0.16715285880980163,0.24912485414235705,0.17269544924154026,0.11872812135355892,0.07088681446907819,0.040256709451575265,0.027421236872812137,0.01750291715285881,0.011085180863477246,0.011668611435239206,0.010210035005834306,28600,35160,0.3
"A0C",0.00012498124704439305,0.626631853785901,0.677685950413223,0.025898078529657476,0.035505430242272346,0.038011695906432746,0.042606516290726815,0.034252297410192145,0.028404344193817876,0.034252297410192145,0.042606516290726815,0.04803675856307435,0.06390977443609022,0.07936507936507936,0.10066833751044277,0.1111111111111111,0.10902255639097744,0.09147869674185463,0.057226399331662486,0.03216374269005848,0.01670843776106934,0.008771929824561403,0.0012531328320802004,0,0.9340463458110517,0.00980392156862745,0.012477718360071301,0.013368983957219251,0.023172905525846704,0,0.0017825311942959,0.004456327985739751,0.9433724832214765,0.026426174496644295,0.013422818791946308,0.015939597315436243,0.0008389261744966443,0.7805925289823958,0.059252898239587806,0.15586088449978533,0.04164877629884071,0.004293688278231,0.5760000000000001,0.026785714285714284,0.08223684210526316,0.17481203007518797,0.2716165413533835,0.1987781954887218,0.1193609022556391,0.05545112781954887,0.027725563909774435,0.016917293233082706,0.009398496240601503,0.005639097744360902,0.006578947368421052,0.005639097744360902,26600,31760,0.3
"A0E",0.00009509363307684686,0.5848563968668408,0.6446280991735537,0.02993870815652994,0.034417727487034415,0.04738330975954738,0.04785478547854786,0.03936822253653937,0.03041018387553041,0.036303630363036306,0.04337576614804337,0.05139085337105139,0.06482791136256483,0.08156529938708157,0.09594530881659595,0.09476661951909476,0.10372465818010372,0.0917020273455917,0.054455445544554455,0.03182461103253183,0.013672795851013672,0.005893446487505893,0.0011786892975011788,0,0.9019507186858317,0.014373716632443531,0.026694045174537988,0.027207392197125257,0.02104722792607803,0,0.001540041067761807,0.007186858316221766,0.9423631123919308,0.02881844380403458,0.01633045148895293,0.012247838616714697,0,0.808714918759232,0.07040866568193008,0.11989167897587395,0.03692762186115214,0.0012309207287050715,0.63,0.02773290253096392,0.08454496499730749,0.17393645665051158,0.24448034464189553,0.16585891222401722,0.11335487345180398,0.07054388799138395,0.041733979536887456,0.030156165858912225,0.01615508885298869,0.00942380183091007,0.012654819601507808,0.008885298869143781,27400,34640,0.3
"A0G",0.00006134576126057404,0.6135770234986948,0.6694214876033059,0.028665766171394266,0.03571964580519286,0.04412426834759117,0.044574515983791085,0.03286807744259343,0.027915353444394417,0.033018159987993394,0.03992195707639202,0.050877982890589826,0.064985742158187,0.08179498724298365,0.09455200360198109,0.10040522287257991,0.10820951523337836,0.09365150832958127,0.059882935614588025,0.035419480714392916,0.015608584721596878,0.006453549452198709,0.0012006603631997599,0.00030016509079993996,0.9296197464976651,0.024349566377585057,0.012675116744496331,0.00867244829886591,0.015677118078719146,0,0.00133422281521014,0.007671781187458306,0.939347526420585,0.02619084086383826,0.0217491193138306,0.012559350589676827,0.00045948843620768876,0.7795732663947286,0.06149984311264512,0.15673046752431755,0.04675243175400063,0.0020395356134295575,0.5589999999999999,0.02754962354551677,0.09069130732375086,0.19301848049281314,0.2522245037645448,0.1810403832991102,0.11310746064339494,0.059034907597535935,0.030971937029431896,0.02053388090349076,0.012662559890485968,0.006502395619438741,0.00701574264202601,0.005817932922655715,26400,32040,0.3
"A0H",0.000022902088857152344,0.5953002610966058,0.6528925619834712,0.02926246640788295,0.03254702896386981,0.044490892803822034,0.04508808599581965,0.03881755747984473,0.034935801731860255,0.03463720513586145,0.039414750671842344,0.05046282472379815,0.06539265452373844,0.08450283666766199,0.09435652433562257,0.1065989847715736,0.10421021200358316,0.08629441624365482,0.05404598387578382,0.0316512391758734,0.01642281277993431,0.005673335323977307,0.0008957897879964168,0,0.8856015779092702,0.03353057199211045,0.04142011834319527,0.015121630506245891,0.013806706114398421,0,0.0013149243918474688,0.009204470742932281,0.9375951293759512,0.033789954337899546,0.017351598173515982,0.010958904109589041,0,0.7651278852152215,0.07953836556456644,0.15470991890205865,0.03711790393013101,0.0006238303181534623,0.584,0.033863867253640365,0.08940060954961057,0.17372163901117507,0.25262444971215714,0.17338300033863868,0.11581442600745005,0.06637317981713511,0.03420250592617677,0.025397900440230273,0.013206908228919742,0.01015916017609211,0.006434134778191669,0.004740941415509651,26800,32200,0.3
"A0J",0.0001173144289877559,0.6135770234986948,0.6611570247933886,0.028685790527018012,0.0333555703802535,0.04269513008672448,0.040693795863909275,0.038692461641094064,0.03402268178785857,0.0333555703802535,0.03802535023348899,0.04469646430953969,0.06804536357571714,0.0867244829886591,0.08739159439626418,0.1114076050700467,0.10607071380920614,0.08939292861907938,0.06070713809206137,0.02935290193462308,0.01734489659773182,0.00733822548365577,0.00133422281521014,0,0.8688046647230321,0.01749271137026239,0.05393586005830904,0.021865889212827987,0.026239067055393587,0,0.0014577259475218659,0.008746355685131196,0.9224489795918367,0.027891156462585033,0.03333333333333333,0.0163265306122449,0,0.7205882352941176,0.0819327731092437,0.19677871148459383,0.06162464985994398,0,0.593,0.024427480916030534,0.1,0.1916030534351145,0.24122137404580152,0.1618320610687023,0.10152671755725191,0.06793893129770992,0.03816793893129771,0.025190839694656488,0.015267175572519083,0.009923664122137405,0.013740458015267175,0.008396946564885497,26000,32720,0.3
"A0K",0.00001203799105343722,0.608355091383812,0.6528925619834712,0.0267639902676399,0.031630170316301706,0.045012165450121655,0.04318734793187348,0.03527980535279805,0.031832927818329276,0.0340632603406326,0.04075425790754258,0.047850770478507706,0.06508515815085159,0.09184914841849148,0.10137875101378752,0.10685320356853203,0.10056772100567721,0.08556366585563666,0.05535279805352798,0.0332522303325223,0.016828872668288728,0.005474452554744526,0.0008110300081103001,0,0.935088515660463,0.011348161597821153,0.013617793917385384,0.009078529278256923,0.01861098502042669,0,0.0018157058556513845,0.01044030866999546,0.9357274025709039,0.02509691899612324,0.020403999183840033,0.01754743929810243,0.001224239951030402,0.7947116385592338,0.05309181761399125,0.1486570893191755,0.04934415990006246,0.003539454507599417,0.605,0.024043966109457294,0.07144492786810167,0.16647584153881384,0.2578429127547515,0.18594000457980306,0.12113579116098008,0.06778108541332722,0.034577513166933825,0.025646897183421113,0.01580032058621479,0.010304556904053125,0.010762537210899932,0.007556675062972292,28400,34200,0.3
"A0L",0.00014370475678858108,0.5117493472584858,0.5619834710743802,0.033311125916055964,0.047968021319120584,0.04863424383744171,0.05596269153897402,0.039973351099267154,0.03530979347101932,0.049966688874083946,0.047968021319120584,0.060626249167221855,0.06462358427714857,0.07928047968021319,0.08794137241838774,0.08927381745502998,0.09193870752831446,0.08194536975349767,0.047968021319120584,0.023317788141239172,0.009993337774816789,0.002664890073284477,0.0006662225183211193,0,0.9187116564417178,0.006134969325153374,0.02607361963190184,0.04141104294478527,0.006134969325153374,0,0,0.0015337423312883436,0.9308219178082192,0.026027397260273973,0.028082191780821917,0.015068493150684932,0,0.7282913165266106,0.0784313725490196,0.19257703081232494,0.05392156862745098,0,0.625,0.027607361963190184,0.07668711656441718,0.1441717791411043,0.20705521472392638,0.18404907975460122,0.14033742331288343,0.08358895705521473,0.04984662576687116,0.032208588957055216,0.024539877300613498,0.011503067484662576,0.009969325153374233,0.006901840490797546,32000,36920,0.2
"A0M",0.00004465255125748057,0.608355091383812,0.6611570247933886,0.021957913998170174,0.04025617566331199,0.042086001829826164,0.05215004574565416,0.03110704483074108,0.0292772186642269,0.03202195791399817,0.04117108874656908,0.0484903934126258,0.0686184812442818,0.07959743824336687,0.09972552607502287,0.10064043915827996,0.11344922232387923,0.08325709057639524,0.06404391582799634,0.03293687099725526,0.013723696248856358,0.0054894784995425435,0.0018298261665141812,0,0.9015748031496063,0.015748031496062992,0,0.02952755905511811,0.047244094488188976,0,0.005905511811023622,0,0.950834879406308,0.0287569573283859,0.012059369202226345,0.00927643784786642,0,0.8096135721017907,0.06974552309142319,0.11969839773798303,0.034872761545711596,0,0.636,0.03189300411522634,0.08436213991769548,0.15946502057613168,0.23045267489711935,0.1574074074074074,0.12037037037037036,0.09053497942386832,0.05761316872427984,0.03292181069958848,0.018518518518518517,0.00720164609053498,0.006172839506172839,0.00411522633744856,29400,36440,0.2
