"Geo Code","Geo Name","Line Number"
"2021A0011E5S","E5S",489368
"2021A0011E5T","E5T",491999
"2021A0011E5V","E5V",494630
"2021A0011E6A","E6A",497261
"2021A0011E6B","E6B",499892
"2021A0011E6C","E6C",502523
"2021A0011E6E","E6E",505154
"2021A0011E6G","E6G",507785
"2021A0011E6H","E6H",510416
"2021A0011E6J","E6J",513047
"2021A0011E6K","E6K",515678
"2021A0011E6L","E6L",518309
"2021A0011E7A","E7A",520940
"2021A0011E7B","E7B",523571
"2021A0011E7C","E7C",526202
"2021A0011E7E","E7E",528833
"2021A0011E7G","E7G",531464
"2021A0011E7H","E7H",534095
"2021A0011E7J","E7J",536726
"2021A0011E7K","E7K",539357
"2021A0011E7L","E7L",541988
"2021A0011E7M","E7M",544619
"2021A0011E7N","E7N",547250
"2021A0011E7P","E7P",549881
"2021A0011E8A","E8A",552512
"2021A0011E8B","E8B",555143
"2021A0011E8C","E8C",557774
"2021A0011E8E","E8E",560405
"2021A0011E8G","E8G",563036
"2021A0011E8J","E8J",565667
"2021A0011E8K","E8K",568298
"2021A0011E8L","E8L",570929
"2021A0011E8M","E8M",573560
"2021A0011E8N","E8N",576191
"2021A0011E8P","E8P",578822
"2021A0011E8R","E8R",581453
"2021A0011E8S","E8S",584084
"2021A0011E8T","E8T",586715
"2021A0011E9A","E9A",589346
"2021A0011E9B","E9B",591977
"2021A0011E9C","E9C",594608
"2021A0011E9E","E9E",597239
"2021A0011E9G","E9G",599870
"2021A0011E9H","E9H",602501
"2021A0011G0A","G0A",605132
"2021A0011G0C","G0C",607763
"2021A0011G0E","G0E",610394
"2021A0011G0G","G0G",613025
"2021A0011G0H","G0H",615656
"2021A0011G0J","G0J",618287
"2021A0011G0K","G0K",620918
"2021A0011G0L","G0L",623549
"2021A0011G0M","G0M",626180
"2021A0011G0N","G0N",628811
"2021A0011G0P","G0P",631442
"2021A0011G0R","G0R",634073
"2021A0011G0S","G0S",636704
"2021A0011G0T","G0T",639335
"2021A0011G0V","G0V",641966
"2021A0011G0W","G0W",644597
"2021A0011G0X","G0X",647228
"2021A0011G0Y","G0Y",649859
"2021A0011G0Z","G0Z",652490
"2021A0011G1B","G1B",655121
"2021A0011G1C","G1C",657752
"2021A0011G1E","G1E",660383
"2021A0011G1G","G1G",663014
"2021A0011G1H","G1H",665645
"2021A0011G1J","G1J",668276
"2021A0011G1K","G1K",670907
"2021A0011G1L","G1L",673538
"2021A0011G1M","G1M",676169
"2021A0011G1N","G1N",678800
"2021A0011G1P","G1P",681431
"2021A0011G1R","G1R",684062
"2021A0011G1S","G1S",686693
"2021A0011G1T","G1T",689324
"2021A0011G1V","G1V",691955
"2021A0011G1W","G1W",694586
"2021A0011G1X","G1X",697217
"2021A0011G1Y","G1Y",699848
"2021A0011G2A","G2A",702479
"2021A0011G2B","G2B",705110
"2021A0011G2C","G2C",707741
"2021A0011G2E","G2E",710372
"2021A0011G2G","G2G",713003
"2021A0011G2J","G2J",715634
"2021A0011G2K","G2K",718265
"2021A0011G2L","G2L",720896
"2021A0011G2M","G2M",723527
"2021A0011G2N","G2N",726158
"2021A0011G3A","G3A",728789
"2021A0011G3B","G3B",731420
"2021A0011G3C","G3C",734051
"2021A0011G3E","G3E",736682
"2021A0011G3G","G3G",739313
"2021A0011G3H","G3H",741944
"2021A0011G3J","G3J",744575
"2021A0011G3K","G3K",747206
"2021A0011G3L","G3L",749837
"2021A0011G3M","G3M",752468
"2021A0011G3N","G3N",755099
"2021A0011G3S","G3S",757730
"2021A0011G3Z","G3Z",760361
"2021A0011G4A","G4A",762992
"2021A0011G4R","G4R",765623
"2021A0011G4S","G4S",768254
"2021A0011G4T","G4T",770885
"2021A0011G4V","G4V",773516
"2021A0011G4W","G4W",776147
"2021A0011G4X","G4X",778778
